;Hvap_sim (kJ/mol);Vol_sim (mL/mol);dHvap_sim (kJ/mol);dVol_sim (mL/mol);eps_val;rmin_half_val
0;38.06438507649088;109.18140666871838;0.2489592464844829;0.03985843327294325;0.111;1.894
1;37.38749431420147;108.78704407178608;0.2546459359442996;0.04323063456284086;0.1102;1.908
2;37.22362510689456;111.49421365087791;0.23793689971707813;0.03904560828238504;0.111;1.855
3;34.97360800786258;110.92253097871206;0.2354177498062914;0.03944950652106961;0.104;1.9045
4;37.963868573525474;107.309083261385;0.2347845904217433;0.029728180075054025;0.11415;1.914
5;37.257383840170576;106.98278612261;0.20723006985049383;0.037182687124290285;0.11415;1.923
6;37.58020032794661;107.94969010776008;0.24207368388936853;0.03610611082745177;0.1126;1.911
7;38.07442745366664;108.53701393062431;0.2349349933596878;0.039042584126401825;0.1126;1.8975
8;35.545357554454654;111.41300845207414;0.22891874425940137;0.04488603242925194;0.1058;1.887
9;35.008689943367344;112.2533861245749;0.2287058266222231;0.06383693175529495;0.1022;1.894
10;37.47959237047906;107.97121526074278;0.25708598203605343;0.03617996602093987;0.1126;1.908
11;35.52638992469082;110.39150320572266;0.22784854903235133;0.04041505973236212;0.104;1.914
12;39.54541653127527;108.41431810290383;0.23995600756731716;0.03693991216822628;0.1186;1.8642
13;38.536950132295914;107.49364491588744;0.2655063773789358;0.04059664200079314;0.11415;1.908
14;36.642374017655;109.36146943178731;0.2494993335132201;0.04666501495363158;0.1086;1.908
15;37.05662921742987;108.77518436921869;0.24413398801148878;0.03938367884844387;0.1094;1.914
16;34.8150386134593;110.48313089671274;0.24794436408226633;0.03916896257040105;0.1022;1.926
17;36.730513141535766;108.52894782717462;0.24829665450505176;0.04167158829899366;0.1094;1.917
18;36.32547628726107;109.50225019534253;0.24713054348788743;0.033639051616780866;0.1076;1.911
19;37.77818130505419;107.40539001240163;0.29605247027326764;0.03906329372582967;0.1126;1.92
20;35.034332219723865;110.22332591584919;0.22866502793302118;0.03982550449159883;0.104;1.92
21;36.55353888646775;108.97211369003232;0.2295600718751453;0.03789806465496432;0.1094;1.908
22;36.27221087229902;109.59319396780728;0.23288273228475195;0.04067103063636403;0.1076;1.908
23;36.976554894785586;109.02631152768386;0.24537558338961238;0.02882913205707386;0.111;1.8975
24;34.71107610219183;111.71365086799285;0.25539558309681226;0.03593141930372449;0.1022;1.9045
25;35.92149167897188;110.55389491651097;0.2690132528058019;0.0364855197617548;0.1076;1.8905
26;36.8561722685814;108.87547015459495;0.25515843754350204;0.0449141399301138;0.1095;1.908
27;37.00902846739144;108.95005435733411;0.2525192000864082;0.034855436018010916;0.1094;1.908
28;37.25108241981957;109.59092522480684;0.23782251397718335;0.040032024032896;0.1094;1.8975
29;35.66043171211171;110.6655476968335;0.24081193442102514;0.04119958091520009;0.1058;1.8975
30;37.27803202473981;109.6320113115583;0.23660290346344218;0.041928208445597685;0.110623;1.887
31;36.77321311228463;108.93808804246169;0.23130910972793742;0.044375408004168684;0.1093;1.908
32;38.407592449755064;106.3541742657425;0.21837694969565782;0.03774609828989577;0.1157;1.926
33;34.68487032102665;111.35962447353961;0.24975711389341623;0.049701232703123745;0.1022;1.911
34;39.274314605404385;107.88787242810928;0.2459476531633858;0.039344897583222446;0.1157;1.8905
35;35.500297413494316;111.44361180648698;0.2413685813465074;0.038620241451881726;0.104;1.8975
36;35.47209455965025;109.70915463955988;0.2625580516863112;0.0406519016313283;0.1058;1.917
37;36.06374518972507;110.33201799519635;0.2370117683412672;0.03874272114993074;0.1076;1.894
38;36.892139152478784;109.31727635718171;0.24991058742535582;0.03950804308419399;0.111;1.8905
39;34.72593432262352;111.13097537200817;0.25851904676449455;0.04012127091788504;0.1022;1.914
40;35.81065829580265;109.21348890396175;0.24172425331578046;0.04669172806750509;0.1058;1.926
41;34.86897519825778;112.58705493713755;0.2422869213583696;0.03789012856613963;0.1022;1.8905
42;37.503769664233594;108.58952447925489;0.24813159827849093;0.042489925007629006;0.111;1.908
43;38.86377853965231;106.68929171656524;0.24564127219269274;0.03667242168576747;0.1157;1.917
44;36.05122533726458;108.69930063974549;0.25789185683726396;0.04020114656265874;0.1076;1.923
45;37.58013508378092;108.1619478928921;0.2636023512294396;0.03317380219342536;0.1126;1.9045
46;36.84799318753214;108.46472758682197;0.24918951966819042;0.03567851729118472;0.111;1.908
47;34.7556754189642;110.91744233344346;0.24668315500890578;0.042710141223242085;0.1022;1.917
48;36.348373415055605;110.1791305747423;0.26299477172464647;0.03722006019787329;0.1076;1.8975
