;C_p_res_sim (J/mol/K);Vol_sim (mL/mol);dC_p_res_sim (J/mol/K);dVol_sim (mL/mol);eps_val;rmin_half_val
0;57.51158600594778;108.45742060930864;2.6520388570653832;0.031483113474370376;0.1058;1.9140000000000001
1;53.47106158508255;107.32536867259675;2.2605871085556153;0.025346290501810368;0.1157;1.9169999999999998
2;54.557838976178175;107.84589194460668;2.272476292620771;0.03065449008983173;0.111;1.9140000000000001
3;55.58032356422223;109.80774038526346;2.874342056224077;0.03458496786662407;0.11415;1.8905
4;57.981528233975084;109.20937460175993;2.735553924763982;0.03489684094578735;0.10400000000000001;1.923
5;52.53986030054204;108.11003946772024;2.7542690672443086;0.03452374620347511;0.1157;1.894
6;55.163619859424564;108.66220406295074;2.193867469847623;0.028780884467647073;0.1076;1.911
7;53.50827205952597;109.76182013516159;2.1669047769898473;0.03193567279793812;0.1076;1.9045
8;60.10442807077777;109.80226326123164;2.9730786010685395;0.037611920285887064;0.1076;1.901
9;50.980173152600614;106.5931523848738;2.540764146973908;0.030306775814203143;0.11415;1.8975
10;51.713581243685724;106.86596941163391;2.0642287961970665;0.024736251499068492;0.104;1.923
11;52.6095839704564;107.16694473981812;2.9182066099201753;0.03551168922359134;0.1126;1.8905
12;54.66566657269929;107.56461559121311;2.2640840927316352;0.026705322341154154;0.1157;1.911
13;56.79451110605499;108.14038811472929;2.575808226578411;0.03155693814979377;0.1094;1.914
14;53.01723626058942;108.97838306073636;2.0959969593424383;0.031224994086647452;0.1126;1.923
15;57.89933706616588;108.81159219294099;2.627281737939512;0.02985437891090239;0.1126;1.92
16;56.90499531716376;109.87686301237915;2.3934607300506063;0.0319683003330498;0.1094;1.908
17;55.042266749014914;107.57210264049758;2.198613902100335;0.026943224886192406;0.1126;1.914
18;56.98176038417763;109.5864202139728;2.075634276374437;0.025065193016542673;0.111;1.894
