;C_p_res_sim (J/mol/K);Vol_sim (mL/mol);dC_p_res_sim (J/mol/K);dVol_sim (mL/mol);eps_val;rmin_half_val
0;53.50827205952597;109.76182013516159;2.146676566872159;0.03255078682670181;0.1058;1.9140000000000001
1;57.51158600594778;108.45742060930864;2.5256290746289474;0.03151180456326138;0.1157;1.9169999999999998
2;57.981528233975084;109.20937460175993;2.649996432859084;0.03489674979873676;0.111;1.9140000000000001
3;56.98176038417763;109.5864202139728;1.8929541357356678;0.025314437504285494;0.11415;1.8905
4;54.66566657269929;107.56461559121311;2.248967633059463;0.027263693951545074;0.10400000000000001;1.923
5;60.10442807077777;109.80226326123164;3.0785269441098873;0.037570493157779314;0.1157;1.894
6;55.58032356422223;109.80774038526346;2.983545984966745;0.03460768386030687;0.1076;1.911
7;51.713581243685724;106.86596941163391;2.119291938655324;0.02383552709521395;0.1076;1.9045
8;57.89933706616588;108.81159219294099;2.553110176341409;0.030081647046787036;0.1076;1.901
9;52.53986030054204;108.11003946772024;2.497034481891216;0.03258516015101653;0.11415;1.8975
10;56.79451110605499;108.14038811472929;2.6544335651213444;0.03214500047533492;0.104;1.923
11;56.90499531716376;109.87686301237915;2.3502765551945877;0.03213047242668117;0.1126;1.8905
12;55.042266749014914;107.57210264049758;2.256042717972288;0.026490906344714002;0.1157;1.911
13;55.163619859424564;108.66220406295074;2.1648123448978738;0.028958258114279194;0.1094;1.914
14;53.47106158508255;107.32536867259675;2.284028540809122;0.024482321324857694;0.1126;1.923
15;53.01723626058942;108.97838306073636;2.0921561744590744;0.030992914280516096;0.1126;1.92
16;50.980173152600614;106.5931523848738;2.493626455956179;0.030389471722739727;0.1094;1.908
17;52.6095839704564;107.16694473981812;2.9523040229045496;0.03605283944862634;0.1126;1.914
18;54.557838976178175;107.84589194460668;2.260213917115943;0.031655454057018736;0.111;1.894
