;C_p_res_sim (J/mol/K);Vol_sim (mL/mol);dC_p_res_sim (J/mol/K);dVol_sim (mL/mol);eps_val;rmin_half_val
0;48.69722806816967;108.86107192127727;1.7977661631938169;0.028068587177587576;0.104;1.923
1;44.69660839255719;108.58962958984394;2.0646871844341503;0.03407942528003356;0.1076;1.9045
2;44.67056256376923;107.29686589178517;1.634461931001072;0.02335444011131902;0.11415;1.8905
3;50.1435918102678;105.58696926235635;1.9930693183697867;0.025837992429575914;0.1157;1.9169999999999998
4;46.84809475039161;107.06220422782485;1.9367953935956448;0.02726132729619575;0.111;1.9140000000000001
5;48.52239068498126;106.65969589566927;2.2525853521656978;0.02897079960304261;0.1126;1.914
6;49.07895734191556;108.85686627625665;2.1554508651796196;0.031094320538943142;0.1076;1.901
7;50.02847092439795;108.8251779398916;2.0357575736529423;0.03155699913966739;0.10400000000000001;1.923
8;52.89352397436335;108.72622514352605;2.3855468631455934;0.035487509280366265;0.1058;1.9140000000000001
9;51.54573060105757;105.90081567068148;2.453729459483626;0.030427033791964896;0.1157;1.911
10;48.03360672571485;107.54235691883638;2.017534231874738;0.02568298349550916;0.1094;1.914
11;44.499567736761215;106.62353366961051;2.387332502810514;0.033465966494185484;0.1157;1.894
12;48.4671603407385;107.72991595944549;2.458072585915966;0.03126737760278247;0.1094;1.908
13;46.623601372474646;106.1377479552274;2.108995420284861;0.028242420206878668;0.1126;1.923
14;49.14698319264561;108.18297605437704;1.889082244846324;0.02780225100653178;0.1076;1.911
15;46.89295690153123;108.08151990363382;1.9097381244690528;0.02800172758543284;0.111;1.894
16;48.536661275098155;106.466111847429;2.0928432961485757;0.02757177433326417;0.1126;1.92
17;50.45131183273447;107.70738626922467;2.147699359209904;0.030624631207265288;0.1126;1.8905
18;47.4727713775654;106.97202938855654;2.3543584716804804;0.03351093157151163;0.11415;1.8975
