;E_bulk_sim (kJ/mol);E_vac_sim (kJ/mol);Hvap_sim (kJ/mol);Vol_sim (mL/mol);dE_bulk_sim (kJ/mol);dE_vac_sim (kJ/mol);dHvap_sim (kJ/mol);dVol_sim (mL/mol);eps_val;rmin_half_val
0;12437.677988459462;85.32793147905423;38.03719031622367;108.85355438326167;16.997105839240717;0.4285670108503978;0.4339263860987099;0.07199597922242994;0.1126;1.8905
1;12304.910807712797;84.42967939683123;37.67024468571696;106.4998045849853;15.527935865605729;0.4201663169466292;0.4247323894057278;0.06092259502732668;0.1157;1.926
2;12825.495652042417;84.51308403483219;35.671054025375426;109.0336761098449;17.26188355046408;0.44788390246599025;0.4531749685707332;0.08375783936775534;0.1076;1.917
3;12967.801226196767;85.05219324325425;35.640857560050556;109.85919224380888;12.472724966940712;0.4211543703069816;0.42409916948649284;0.06327934786789584;0.1058;1.917
4;12669.19586819956;85.09863239796387;36.88180493791161;108.99987380217485;12.942480612217631;0.43457535146290244;0.4376481017985091;0.06133097360602829;0.1094;1.908
5;12659.483265278113;85.53804409293828;37.36009008325727;108.7717680054622;12.197845452244467;0.4507180976188745;0.45335130142036145;0.0622493536536292;0.1095;1.908
6;13020.623661973843;84.96635709508396;35.34378522945849;109.32888841680766;12.715773702725205;0.49395907159635327;0.4965708598562938;0.056309582907423175;0.1058;1.926
7;12647.00970780208;85.3443178375477;37.21625647364538;108.78745241586769;11.14599152752947;0.46414572097062745;0.46628208239190433;0.05448151378686581;0.1095;1.908
8;12943.994540635767;84.71808821649194;35.40181486310207;111.48703808711241;18.93420576556606;0.47292320048155867;0.47894928754569366;0.1081169404115087;0.1058;1.887
9;12402.2173404114;84.38021681421492;37.23149745688754;107.07916516613122;15.501299268507465;0.5335354927653175;0.5371263971754765;0.06118474794705197;0.11415;1.923
10;12266.838286323504;84.87528738911412;38.268122360194994;106.70181807041405;13.739736777991004;0.4629533452944375;0.46620412462751143;0.05665054189528763;0.1157;1.92
11;13177.092511179428;85.60194485990367;35.353216147767355;112.11551899608857;14.782121649233245;0.47442491957745997;0.4780953694684842;0.07913571906676653;0.1022;1.894
12;12694.704667790287;85.26951700166589;36.9507643773882;107.91042689649085;15.99380598626243;0.4737517481150596;0.4780518258178028;0.067762648545298;0.1094;1.926
13;12928.684971818455;83.77967936038974;34.524682291451754;111.11070954614584;32.893550365548585;0.44850911458238185;0.46741009465703354;0.15126522984254734;0.1058;1.8905
14;12516.29688394934;84.39870591598913;36.793471715957665;109.02637855541529;14.001036885923174;0.46927207847892394;0.4726021034836213;0.05867407055626325;0.111;1.894
15;12779.327062890246;84.93030365044254;36.27299196879024;108.59831773584912;15.948522752403283;0.5086050011354688;0.512590219641466;0.06592401607181482;0.1094;1.923
16;12927.379799432063;84.23319660915226;34.9834669614028;110.64802001196527;14.171616892631569;0.4982737052058107;0.5014878273171364;0.06425007182949082;0.1058;1.901
17;12800.86767864281;85.35021250747924;36.60668227255883;109.15366682352244;28.04438843096687;0.46242219988726213;0.47583410408661053;0.10090323659317128;0.1076;1.914
18;13063.951789155479;85.08410512701542;35.28800421013897;111.47287380728618;13.823528858078246;0.49373681827244964;0.49682339415465454;0.0767613090808314;0.104;1.8975
19;12277.929964532283;85.07219279307152;38.420482147480996;108.4731431821111;14.837350728141105;0.5427331285663002;0.5459684977327416;0.06795329966621036;0.114614125174;1.88714816576
20;12570.781009280263;84.48053424050453;36.65729491591778;109.70581649199144;13.694080467697422;0.5626083770047121;0.5652686364535529;0.06604060272409282;0.110623;1.887
21;12929.291964158656;85.61757762498087;36.36019319899375;110.70860745043124;14.046784769810294;0.4852286254054361;0.4884708932590222;0.0703653580927396;0.1058;1.8975
22;13038.895044618599;85.56671208933307;35.870799974194064;111.85085806541218;12.484298295868744;0.46252703588530975;0.465214984957133;0.06322009942843776;0.104;1.8905
23;12517.335906382275;85.61306293962441;38.00381509255122;107.61605489198905;18.430419192460924;0.4709341159766081;0.47666951577462385;0.07166273267632337;0.1126;1.92
24;12256.722069269199;85.62218730862536;39.05550324851269;106.54240629566759;13.753326149990597;0.43243586664728517;0.43592114250552694;0.060490994297279686;0.1157;1.923
25;12569.61575007681;86.07789210778756;38.25932937503123;109.55180642666193;25.196684441482507;0.5129194099893212;0.5227277377324164;0.11780023714762733;0.111;1.887
26;12346.497505921448;84.64413261707634;37.7182082789208;107.91400465096979;31.1095345807077;0.5253768876064457;0.5399127008799576;0.16305179684932716;0.11415;1.9045
27;13213.18809292671;85.62784937668313;35.234822061872784;111.28656538123485;16.644035922856485;0.5064141442377559;0.5107716402369445;0.08713923296747579;0.1022;1.914
28;12589.62656253789;84.32263495194789;36.424214676017826;107.7131265198668;14.151946155015358;0.4885536014421288;0.49182218615630635;0.05764958649791254;0.111;1.923
29;13194.206846373634;84.8759486940506;34.55890388204431;110.71709417586928;16.31611515417301;0.45598218215274205;0.4606291353229284;0.0685849608651684;0.1022;1.917
30;12939.229875771043;85.32560237583209;36.02856927438098;109.68909274196294;14.67121984364455;0.4251991395316374;0.42922980252646054;0.07088074927775039;0.1058;1.914
31;12364.160501244565;85.38690992739224;38.39040352103063;107.22179587471888;13.886509958070786;0.4598346822774866;0.46317739322352447;0.0514973492001303;0.11415;1.917
32;12381.781008545448;84.5521474597026;37.48500545228678;108.74230924779462;16.302267478328336;0.5697710669881244;0.5734904459756363;0.06972226577655995;0.1126;1.887
33;12004.70510550143;86.03096910431826;40.472180602278755;108.24831716611601;18.80090330695473;0.516363559914548;0.5218111818735008;0.08748544737384759;0.1186;1.8642
34;12588.398278120381;83.88341728582247;35.98953532681797;111.4242229997743;12.243110638876969;0.4967970508101521;0.49920497780137607;0.061158197786955;0.111;1.855
35;13112.08891365452;84.27306790001136;34.28458655531328;109.80881267326586;13.81621106421313;0.494870119118461;0.4979464206574801;0.06146767688291659;0.104;1.926
36;12759.60182586565;84.98347595341372;36.40499109073431;109.33226947331009;15.680737089291348;0.4786701293338201;0.48276211639114214;0.07368292022488188;0.1086;1.908
37;12655.383356422459;84.46736706289578;36.305802638482675;108.8712744878202;13.05113916486051;0.46238995037062625;0.46532760714969584;0.059325498007615614;0.1094;1.908
38;13135.799060024183;84.81621139539054;34.73285084050027;110.19123557955561;12.610946748573149;0.47508923974952344;0.47775973188251425;0.05969087512862047;0.104;1.923
39;12303.299327014414;84.38259047048226;37.62945333261763;107.96861195017539;17.70985701763835;0.44342014113558625;0.4490430337940398;0.07975605386328508;0.11415;1.8975
40;12807.569220887739;85.02009508862;36.24958801952982;110.8434211803923;12.630321010472786;0.4419988333593869;0.44487680189886547;0.05896028639403993;0.1076;1.887
41;12324.74906700027;85.25204632160505;38.41307347112839;108.33249975814822;17.191701630532123;0.5244654521272406;0.5289545199798438;0.07196059052479385;0.11415;1.894
42;12956.461275662392;84.65516976096043;35.28906871738468;111.09842501178257;16.24437012800416;0.440137805191441;0.44490826089060653;0.08647119670005331;0.1058;1.894
43;12197.587615184713;85.65654983550645;39.32634824213376;107.09042211720805;17.49590319965857;0.5199430415018054;0.5246317494503405;0.07971840743052379;0.1157;1.908
44;12295.970736261002;85.1297321507035;38.40584728629207;108.58336007344175;13.20095507408382;0.47147342051494706;0.4744211522692754;0.05472948004004158;0.11415;1.887
45;12254.003748445692;84.15816139505158;37.602334529576936;106.70169991954721;12.258894547505058;0.39250347422750964;0.39555462989849466;0.049544689008900314;0.1157;1.917
46;13046.181906358837;85.84435783895897;36.119380866295636;111.0331408711653;14.650572177502433;0.7137850859298289;0.7161866915756208;0.07148534857850738;0.104;1.901
47;12912.782980700633;85.30388712873149;36.11257958151814;110.303211988291;16.56798291503046;0.5359219398770595;0.5400039764847994;0.07128801668202887;0.1058;1.9045
48;12202.379532266204;84.73315038363224;38.383682164130846;108.07020234226617;15.670637629221835;0.4732410051966875;0.4773742255123731;0.06616993998755472;0.1157;1.8905
49;12722.17774742345;86.14448631160391;37.71576312565568;108.68511143009542;13.057304213590895;0.49085541924209714;0.49362630979737876;0.055677270939783835;0.1094;1.917
50;13120.663205334613;84.43106503356674;34.4081828604254;110.8351663652036;18.32908090773012;0.3891543809598533;0.3960005248005852;0.1044722775837508;0.104;1.911
51;12783.55471196528;83.69538764102863;35.02100257929982;110.21003829397198;15.533717572068559;0.4639371731681913;0.4680795261528232;0.07030300063537362;0.1076;1.894
52;13034.23619026561;84.41241118445873;34.73512999122619;111.89536802077284;11.988587222931324;0.47451911107786554;0.47693606112896747;0.06962950331629367;0.104;1.887
53;12330.574495184168;84.16481681283486;37.30264312104814;107.33377277268364;14.921090234720312;0.4789918165744406;0.48269595328816794;0.05841412828036445;0.11415;1.911
