;E_bulk_sim (kJ/mol);E_vac_sim (kJ/mol);Hvap_sim (kJ/mol);Vol_sim (mL/mol);[#6X4:1]_eps_val;[#6X4:1]_rmin_half_val;[1:1]-[#6X4]_eps_val;[1:1]-[#6X4]_rmin_half_val;dE_bulk_sim (kJ/mol);dE_vac_sim (kJ/mol);dHvap_sim (kJ/mol);dVol_sim (mL/mol)
0;12762.214011527698;84.88273461790386;36.29387521835822;108.59755876093455;0.1094;1.91754;0.015307499999999996;1.4869999999999999;6.755638515457505;0.2803397273954624;0.2816390974163847;0.03024118923382983
1;12972.135201980735;85.1862578669284;35.75762103439007;109.51509520190228;0.10666500000000001;1.91754;0.015307499999999996;1.4869999999999999;8.866450740785938;0.30712622424328534;0.3091671729320162;0.045391336740672125
2;12501.26968729122;85.07698325814249;37.53189645983982;108.64405086922554;0.1094;1.89846;0.0157;1.479565;6.322047238325086;0.30280310412824074;0.3038572236737397;0.02882706678091523
3;12796.650357073719;84.72494324622183;35.99822658823614;109.70524446339162;0.10666500000000001;1.9080000000000001;0.016092499999999996;1.4869999999999999;7.900822619852062;0.3039436579075972;0.3055822559712655;0.035851554329816966
4;12582.195679855437;85.1495434016325;37.28078773577685;108.29649934563638;0.1094;1.9080000000000001;0.015307499999999996;1.479565;10.839113453645604;0.30352799690760235;0.3066089154288951;0.05083932327795577
5;12795.922164544056;84.50392918338567;35.78017290927699;109.23382111335864;0.1094;1.91754;0.016092499999999996;1.494435;6.562360326744981;0.30235165789668855;0.30348897543576253;0.03010308325361999
6;12770.356716984532;84.69649509611313;36.07494971935398;109.73771109915938;0.10666500000000001;1.89846;0.015307499999999996;1.479565;7.918529028905704;0.29079258785152423;0.29251252759014673;0.03970771879856906
7;12396.55794341205;84.32279960208581;37.19662393260504;108.008869629349;0.11213499999999997;1.9080000000000001;0.016092499999999996;1.4869999999999999;6.753426261480603;0.29029261788245164;0.2915468131638895;0.029144425058127452
8;12556.75721946691;85.34169390838184;37.5746982978853;108.23497652382723;0.11213499999999997;1.9080000000000001;0.015307499999999996;1.4869999999999999;7.500687625018147;0.2903859613448667;0.29193179271355496;0.03596933241092169
9;12940.806635425872;84.64405872775643;35.34062838842977;110.58215468485018;0.10666500000000001;1.89846;0.015307499999999996;1.4869999999999999;8.117935229621041;0.3316753805082339;0.33326111685821114;0.039632863504684895
10;12701.731753123317;85.56821176490783;37.22119040975431;109.49844218073753;0.11213499999999997;1.89846;0.015307499999999996;1.494435;6.743988967470863;0.28666343820421747;0.2879299029407365;0.030201798360981715
11;12922.775098876267;84.94444565469284;35.713205062545164;109.95244200607621;0.1094;1.9080000000000001;0.015307499999999996;1.494435;7.652217598732739;0.2658349736452417;0.2675913604202831;0.0339501558945579
12;12957.216713329492;85.01184267883158;35.642827233189436;110.03556756613878;0.10666500000000001;1.9080000000000001;0.015307499999999996;1.4869999999999999;7.941392626497953;0.3040287082439438;0.30568367133446883;0.03765933613905259
13;12409.693245285884;85.65089938228516;38.47213438332405;108.48532492648961;0.1094;1.89846;0.016092499999999996;1.479565;7.616642295073649;0.3339746435041218;0.3353614085629274;0.03428055947949779
14;12809.928366657303;85.30660711449562;36.52687796088535;108.71967307975842;0.10666500000000001;1.91754;0.015307499999999996;1.479565;6.672424249778702;0.27089380395739543;0.2722054241865761;0.028320082380025813
15;12621.492802706269;85.54298348289474;37.517077758184946;107.91597905662255;0.1094;1.91754;0.015307499999999996;1.479565;6.314584647270235;0.2722633186345402;0.2734324383655269;0.028599707407498173
16;12622.487805781464;84.96249116754929;36.93245385081828;109.41676836785697;0.10666500000000001;1.89846;0.016092499999999996;1.479565;5.957155353909649;0.30925887339114594;0.31017552124254316;0.028614849147511463
17;12763.45494878564;85.1472911668184;36.553376744190054;109.50126223557818;0.1094;1.9080000000000001;0.016092499999999996;1.494435;8.676642033058803;0.31048896712296153;0.3124227017890739;0.040319789260918774
18;12836.424496821675;85.1725172819199;36.286643653724425;110.30337533431398;0.10666500000000001;1.89846;0.0157;1.4869999999999999;8.78757200083634;0.33545647920315985;0.33729303610370365;0.04195519727218793
19;12434.97425165952;85.25980214296834;37.98005179962941;107.11224456288343;0.11213499999999997;1.91754;0.015307499999999996;1.479565;6.97521726483512;0.29317045470744885;0.2944951171365093;0.030689131582570722
20;12754.884362161658;84.81752254243165;36.257982759410424;108.58746905534164;0.11213499999999997;1.91754;0.015307499999999996;1.494435;7.657020383645282;0.29989883664653383;0.30145877265689064;0.033379015807934835
21;12652.626232015506;84.66308981969934;36.51253705726991;109.03796403371297;0.11213499999999997;1.9080000000000001;0.0157;1.494435;6.130257014893997;0.30360958134761934;0.30459819223153034;0.027189177173748028
22;12439.059972208132;84.8098580120503;37.5136659702189;108.09062375123061;0.1094;1.9080000000000001;0.016092499999999996;1.479565;6.547068687822731;0.2951561715705978;0.2963156954304048;0.02755098633274632
23;13132.40051324708;85.15307833274797;35.08329727077835;110.33672258707466;0.10666500000000001;1.91754;0.015307499999999996;1.494435;7.038785627979438;0.32086834975573597;0.32210124174852717;0.032997802455721974
24;12239.068551396078;85.10717912127087;38.611035437205416;107.27206416975395;0.11213499999999997;1.9080000000000001;0.016092499999999996;1.479565;7.786391368388927;0.2688587774870542;0.2706567724788326;0.028278840236007137
