;E_bulk_sim (kJ/mol);E_vac_sim (kJ/mol);Hvap_sim (kJ/mol);Vol_sim (mL/mol);[#6X4:1]_eps_val;[#6X4:1]_rmin_half_val;[1:1]-[#6X4]_eps_val;[1:1]-[#6X4]_rmin_half_val;dE_bulk_sim (kJ/mol);dE_vac_sim (kJ/mol);dHvap_sim (kJ/mol);dVol_sim (mL/mol)
0;12556.894295320537;85.66937704023003;37.90165333365041;110.01510195519934;0.10393;1.8603;0.014914999999999998;1.449825;6.790398917260107;0.3113330412350348;0.3125156233835165;0.03814596353697957
1;13350.999384724018;85.10402065159774;34.159393803272586;114.79514286212883;0.11487;1.8603;0.014914999999999998;1.524175;6.753500575455265;0.33950681392070925;0.3405798482471482;0.03583091944655947
2;12502.208197820772;85.30717790751963;37.75848458089688;107.18351821447632;0.10393;1.9080000000000001;0.014914999999999998;1.449825;7.688604899373979;0.2965283943355684;0.29811897454516556;0.03408572819260059
3;11718.492803450152;85.31651811206008;40.90281582666419;105.90169896320651;0.11487;1.8603;0.014914999999999998;1.449825;7.279466763343055;0.33157586056143157;0.33285192128168756;0.03446760913274122
4;12708.736488156277;84.53274919292207;36.158065642624955;105.96631358415885;0.11487;1.9557;0.014914999999999998;1.4869999999999999;6.027205124511848;0.3107696416366882;0.3117033932990365;0.022860740003379315
5;12838.598614927574;85.16206366014583;36.26759779578746;109.27133314926542;0.1094;1.9080000000000001;0.014914999999999998;1.4869999999999999;6.139277334278113;0.2776685075503054;0.27875231247960514;0.028897531736349825
6;12332.190855152696;84.69901617262894;37.83042458621281;106.863027775804;0.10393;1.9080000000000001;0.0157;1.449825;7.918655540134991;0.3106221742570972;0.31223295284540614;0.03616530276882887
7;13279.174668868041;85.520787029852;34.86348645780712;114.52372844274099;0.10393;1.8603;0.014914999999999998;1.4869999999999999;8.577578282790213;0.3484637829907839;0.35014883360109705;0.0531364251024536
8;13341.826741411112;84.91306595595658;34.00544807557799;111.64272014002067;0.11487;1.9080000000000001;0.014914999999999998;1.524175;6.376810120133857;0.28053341205074195;0.2816906363386997;0.02645311740842069
9;12937.60085453703;85.46107520029017;36.17081316735825;107.16450280995265;0.1094;1.9557;0.0157;1.4869999999999999;7.036879114985266;0.3157957917472246;0.3170477326446615;0.026198649557309665
10;11761.60993525401;84.75435937599869;40.168546932918126;102.35348578741336;0.11487;1.9557;0.0157;1.449825;10.82950338569426;0.2892994705610246;0.2925245869655553;0.03858509482737231
11;11575.655235236525;85.24866431522638;41.40668813351991;102.1806015878741;0.11487;1.9557;0.016485;1.449825;7.123398044665068;0.2922031883848343;0.29358914847668816;0.023762552984744317
12;11516.60390078631;84.78356206517118;41.17764737674247;103.60480478684842;0.11487;1.9080000000000001;0.0157;1.449825;6.049749147964964;0.309252886512731;0.31019822575015493;0.024323395732819695
13;13099.853457454577;85.07288181865684;35.13291524136724;114.03710367610995;0.11487;1.8603;0.016485;1.524175;6.366843345273647;0.3134943868273103;0.3145271334747517;0.03525770236319138
14;12146.638892771656;84.90215569789086;38.77550559927815;109.50027253549246;0.11487;1.8603;0.016485;1.4869999999999999;7.106138596408628;0.29170036038655056;0.29308199459236245;0.03510625429822365
15;12379.495690217029;85.35245741846644;38.294378670805834;109.51472071778225;0.10393;1.8603;0.0157;1.449825;6.514037005335165;0.28599759707508643;0.2871820823003178;0.03417346634215951
16;13452.672076587489;85.12150885646099;33.77007660720378;115.9301277945983;0.1094;1.8603;0.016485;1.524175;6.506543176415291;0.30164953171906966;0.3027702126466906;0.037156184290383976
17;12557.061248897253;85.3436974456665;37.57573948422534;105.72243417975885;0.11487;1.9557;0.0157;1.4869999999999999;5.956216068794918;0.30926981205424964;0.31018613897256303;0.021926948001967966
18;12396.043680831188;85.18908292641983;38.065277742397356;104.9055514626117;0.10393;1.9557;0.016485;1.449825;7.173077582752874;0.3075499610276152;0.30888545969057746;0.028075254568953906
19;13107.638601701748;85.11750753390892;35.146389911398785;114.14074953601578;0.10393;1.8603;0.0157;1.4869999999999999;6.753846150143387;0.28678009990475933;0.2880497469575775;0.03938525141176532
20;13706.21357913008;84.91681580389279;32.55147319214252;113.39896267275864;0.1094;1.9080000000000001;0.014914999999999998;1.524175;7.414979432461178;0.28025613444838554;0.28182124056178004;0.039712695909488144
21;13591.993064268494;85.00599295125504;33.097558048831516;113.14500346080598;0.1094;1.9080000000000001;0.0157;1.524175;6.213262992234577;0.36329679273253906;0.36414589632741917;0.03158918713246136
22;13982.145436131235;85.28211793600684;31.812872517114915;115.13538977213943;0.10393;1.9080000000000001;0.0157;1.524175;7.533805597834942;0.2845210408988665;0.2861124855000212;0.03991203789054601
23;11381.066270303107;84.9181941063871;41.854254917183376;105.33770288416197;0.11487;1.8603;0.016485;1.449825;7.7621170097877625;0.29212962309602564;0.2937749548027776;0.03367769943611632
24;12433.788614066336;84.58824999116315;37.31319892080264;107.54073361551885;0.11487;1.9080000000000001;0.014914999999999998;1.4869999999999999;6.94818452020952;0.2982661951846399;0.2995582739432351;0.027825959906265456
25;11756.511389719011;85.24755358581307;40.68188187040466;104.86293596390357;0.1094;1.9080000000000001;0.016485;1.449825;6.275331054031894;0.3064098105068803;0.307436251048318;0.02500652951392908
26;13492.01221807385;84.94332123426781;33.43521808573203;109.10174495421427;0.10393;1.9557;0.014914999999999998;1.4869999999999999;8.038939075360004;0.30443300487769615;0.3061265214476144;0.033481956108775024
27;13488.149813243997;85.00750068904631;33.51482741688491;109.29721965746108;0.11487;1.9557;0.0157;1.524175;8.35242152031276;0.288113167822495;0.29004379774211125;0.03416316146628235
28;12414.880834951797;85.02290303182642;37.82367912324019;105.5996908815861;0.11487;1.9557;0.016485;1.4869999999999999;7.506123192553437;0.299992796541518;0.3014915391019549;0.02648655501754275
29;13370.761986242416;85.06612684017142;34.042999917361186;109.3463152531025;0.11487;1.9557;0.016485;1.524175;6.67153509061915;0.31499346430786446;0.3161218636077516;0.025670506889365088
30;13224.019790407498;85.58604597714161;35.149702741805775;111.17894758257906;0.10393;1.9080000000000001;0.014914999999999998;1.4869999999999999;6.867393645540127;0.3166771233890299;0.3178662895259048;0.03326873522475325
31;12576.960036607938;85.46454233456258;37.617042824131154;105.19172276905431;0.10393;1.9557;0.0157;1.449825;6.2465423132955005;0.31464908012763904;0.3156395923920524;0.024857062757942916
32;11918.114780194059;85.04755470211262;39.83544077236712;105.14662345802837;0.1094;1.9080000000000001;0.0157;1.449825;6.830514034771158;0.3193092500317339;0.3204760395348687;0.02879652646972443
33;12341.727448737342;85.41563890868962;38.50920525235588;103.850112716478;0.1094;1.9557;0.014914999999999998;1.449825;8.39631526372574;0.29113445754563355;0.2930652523610865;0.032764727319663456
34;12445.248526903864;84.32889909721932;37.007746976963475;110.12883802364284;0.11487;1.8603;0.014914999999999998;1.4869999999999999;6.671773140541293;0.3237802137155654;0.32487817365070715;0.033576254284642594
35;12922.737007375597;85.44998446458077;36.21883762452716;110.53277773474898;0.10393;1.9080000000000001;0.016485;1.4869999999999999;5.779456645710584;0.3072064953336653;0.30807509586050613;0.02861433465165041
36;13719.146329166837;85.25956321555476;32.842129495611566;116.96438886976051;0.1094;1.8603;0.014914999999999998;1.524175;6.804045894276044;0.2890869827205107;0.290365294491406;0.042157122514028825
37;12261.72405409753;85.52730901374184;38.94054191049277;107.28600850447555;0.11487;1.9080000000000001;0.0157;1.4869999999999999;6.891923962382425;0.30526810069142524;0.30651034430084967;0.030068877994724637
38;13454.219354071412;84.95524497397957;33.5979322715506;112.87412023097893;0.1094;1.9080000000000001;0.016485;1.524175;6.694439150440502;0.2884296955358982;0.2896700494110773;0.03171695877561362
39;14098.952516366011;85.29965814005223;31.36275222366658;119.41436556042231;0.10393;1.8603;0.014914999999999998;1.524175;7.7807762739352455;0.3042713994762825;0.3058590071179948;0.049652808823378955
40;12518.60595659493;84.78045861136036;37.16602032294673;108.70754489021994;0.1094;1.9080000000000001;0.016485;1.4869999999999999;6.702707302525996;0.33182211716989995;0.33290349655004126;0.030023278563914367
41;12959.884085119149;85.74488599310571;36.36483242064014;113.6854652373401;0.10393;1.8603;0.016485;1.4869999999999999;7.532412250647242;0.3424493334776557;0.34377222367108073;0.04366514826762871
42;13875.206570767918;84.95480202198614;31.913743099858287;110.8677134275261;0.1094;1.9557;0.0157;1.524175;6.15685736567973;0.31012058401149195;0.31109690920325783;0.0247524941353949
43;12741.977749260019;84.845028834274;36.337433983947754;105.43419095217882;0.10393;1.9557;0.014914999999999998;1.449825;5.952488211506087;0.2734374099179324;0.2744720951282883;0.0261108851634089
44;13587.857675281803;85.29864513625998;33.406416501172366;116.46469267719151;0.1094;1.8603;0.0157;1.524175;6.768019912714383;0.3177664209338663;0.31891753759255853;0.037518731993322826
45;12851.91280582787;84.48489643240457;35.536876068407366;112.21921471014507;0.1094;1.8603;0.014914999999999998;1.4869999999999999;5.888223629158561;0.33550582208668817;0.3363315261821776;0.031084481667612195
46;12164.203524647628;85.0382464167208;38.84163768209585;106.5310498458052;0.10393;1.9080000000000001;0.016485;1.449825;8.86574596338416;0.29441969040279786;0.2965477656886841;0.03740832458793683
47;13655.825386816423;84.60597009818925;32.44257025262967;109.53760687012661;0.11487;1.9557;0.014914999999999998;1.524175;8.95848543149717;0.29664731419300344;0.298803782455262;0.03433730578064865
48;12684.45616575145;83.99632151118904;35.718446627565704;109.06159027259427;0.1094;1.9080000000000001;0.0157;1.4869999999999999;5.5628803465745325;0.3650769168841377;0.3657544059232284;0.02547708102346679
49;11964.633928481991;84.57018408748702;39.17225551652835;102.55303990796962;0.11487;1.9557;0.014914999999999998;1.449825;6.627346199900433;0.3051372250793121;0.3062865873936062;0.023565672108351976
50;11546.35450497817;85.03845067146452;41.313331639617644;105.60407855637563;0.11487;1.8603;0.0157;1.449825;8.11430404661782;0.2812398326599963;0.2831065424352895;0.03495805165467463
51;11825.99596885813;85.23533405971784;40.3914879353088;107.20048491605283;0.1094;1.8603;0.016485;1.449825;7.554970758884488;0.30341788854103047;0.3049190981738107;0.03671549286154932
52;13087.158470386295;85.42658025237452;35.53806747031611;107.36535161616689;0.1094;1.9557;0.014914999999999998;1.4869999999999999;7.59055506370541;0.28631231708191157;0.2879177093226825;0.031318027552094535
53;13208.637158531912;84.64822824352967;34.27309483141505;114.35423749475052;0.11487;1.8603;0.0157;1.524175;6.613005136630232;0.30608346321713736;0.30722434125484976;0.03635986509805328
54;12169.740827875139;85.31544572271564;39.09697280470164;103.70897538055493;0.1094;1.9557;0.0157;1.449825;6.414669581802532;0.28918401364101187;0.29032010182620405;0.022908080559812607
55;14385.643412242003;84.89016078408726;29.80714921063045;112.90024246327201;0.10393;1.9557;0.014914999999999998;1.524175;6.329153420225346;0.27432639966296585;0.2754921132978132;0.02967306591085085
56;12668.179991481973;85.23606737668472;37.023303772175765;108.99642159455749;0.1094;1.908;0.0157;1.487;6.441763154745455;0.2879942031839382;0.2891446040965959;0.03124125324554279
57;12125.30108917804;85.30931853504582;39.26819597448119;107.75449358887225;0.1094;1.8603;0.014914999999999998;1.449825;6.448015562592557;0.2975884026788459;0.2987040138590396;0.033469780953819264
58;14236.582407839544;85.45307629480241;30.9663332614284;112.65744570140014;0.10393;1.9557;0.0157;1.524175;6.318828812492971;0.3232380560856758;0.3242247406840807;0.02908162675115466
59;12784.878384068836;85.18987806796368;36.51052562750217;106.969348377825;0.1094;1.9557;0.016485;1.4869999999999999;6.948589013620086;0.3171549943678599;0.31837056504700345;0.026911427925063736
60;14003.99942469486;85.07774484684154;31.521496035901354;111.05061545290353;0.1094;1.9557;0.014914999999999998;1.524175;6.056152713876417;0.2901104839967988;0.29112012074447646;0.02489273662170069
61;12542.496302602558;84.84271229960582;37.13243527369676;111.4536188003281;0.1094;1.8603;0.016485;1.4869999999999999;7.014160431367807;0.29214222550764657;0.29348637972471725;0.03763527974266746
62;11987.123933352068;84.52943952964941;39.04145498103725;103.50312083056942;0.1094;1.9557;0.016485;1.449825;6.234118354559008;0.29157178933687755;0.2926361837654456;0.022483649220259447
63;13064.252947384215;84.87301980259838;35.07575700563422;111.04957848803937;0.11487;1.9080000000000001;0.016485;1.524175;6.1393743502959035;0.3078143269249207;0.308792374496003;0.02805429327267475
64;11667.920475039837;85.29650859810955;41.085323816080546;103.64239474909104;0.11487;1.9080000000000001;0.014914999999999998;1.449825;8.097614977667991;0.31676433140438226;0.31841605417148755;0.03261252987462999
65;13960.468313203277;84.78947757793759;31.406562762459394;118.87685807017685;0.10393;1.8603;0.0157;1.524175;5.671541270380559;0.296875798327213;0.2977413335986167;0.03777539861857708
66;13167.957068533666;85.7778699366833;35.56604427939936;108.53844702260689;0.10393;1.9557;0.016485;1.4869999999999999;6.144597036778848;0.34418877107802337;0.34506522181528654;0.02489597361987578
67;12092.517402509735;85.08034872114284;39.17060527115148;105.33504903387022;0.1094;1.9080000000000001;0.014914999999999998;1.449825;8.527881010893024;0.30723751108723263;0.30912535370760064;0.03596744927105685
68;12322.28302129121;84.54883015154716;37.71956057000199;109.92570673594606;0.11487;1.8603;0.0157;1.4869999999999999;7.317971756498209;0.29603551128515326;0.2974791880534677;0.03573390931088353
69;13735.199203868975;84.87472524362322;32.39371442628709;110.68318673489814;0.1094;1.9557;0.016485;1.524175;6.384932217987701;0.2862705557259138;0.28740756572215903;0.027759645657191606
70;13848.172738876401;84.84892209028952;31.915596472789563;114.84813855791283;0.10393;1.9080000000000001;0.016485;1.524175;7.255498113846682;0.2985232809083086;0.29993070083624024;0.03674960059981134
71;13326.64430892565;85.55239499574968;34.70579381938252;108.8013927184279;0.10393;1.9557;0.0157;1.4869999999999999;7.537757237840187;0.2836966051745402;0.28529431880805156;0.030940271366910868
72;14093.718384055872;84.7305875498062;30.81500832104703;115.55141124438649;0.10393;1.9080000000000001;0.014914999999999998;1.524175;5.6318106381351365;0.314837429506388;0.31564233506400863;0.030434968357597417
73;13868.882496138312;85.29188843515465;32.275365796629615;118.39261358205587;0.10393;1.8603;0.016485;1.524175;7.209791221866176;0.2950828763019915;0.2964887878791585;0.04426736658913
74;11321.276972455258;84.90181881981414;42.077240486805536;103.32121967892054;0.11487;1.9080000000000001;0.016485;1.449825;6.053371918580456;0.2926433616383258;0.2936433723102862;0.023056462591123175
75;12693.380735860734;85.19625540457669;36.88241099538778;111.7471856037328;0.1094;1.8603;0.0157;1.4869999999999999;5.763496707907542;0.34927426465836725;0.35003428156532185;0.030476532765677973
76;14114.182583820111;85.26186732712353;31.26475748496768;112.3218502514417;0.10393;1.9557;0.016485;1.524175;7.131842435119818;0.31447695919348556;0.31576821989973747;0.03247428258428214
77;11966.592435394128;84.7139271215802;39.30766965808511;107.45269226315096;0.1094;1.8603;0.0157;1.449825;7.43100555829603;0.30074375308497714;0.302209070897514;0.038831726674442915
78;13078.472498158508;84.73171135330912;34.877589774571774;110.85728815163438;0.10393;1.9080000000000001;0.0157;1.4869999999999999;6.901866541643066;0.29291590872357487;0.29421404076568813;0.03455137548569695
79;12109.485210477726;85.2552009488932;39.27740913967144;107.08878525607452;0.11487;1.9080000000000001;0.016485;1.4869999999999999;6.643591447819686;0.29725898858765426;0.29844447259249396;0.027381250145318836
80;13221.581952888453;84.9898630956488;34.56323631044044;111.52449162919375;0.11487;1.9080000000000001;0.0157;1.524175;7.9635010747727355;0.3523389005418452;0.35377588730543347;0.03681247800640542
81;12227.315442072299;84.93408600443682;38.48475843329322;109.21586984551848;0.10393;1.8603;0.016485;1.449825;7.0693225837952;0.31622931902489865;0.3174910823540439;0.03794942510926605
