;Bulk sample number;E_bulk_sim (kJ/mol);E_vac_sim (kJ/mol);Hvap_sim (kJ/mol);Vacuum sample number;Vol_sim (mL/mol);[#6X4:1]_eps_val;[#6X4:1]_rmin_half_val;[1:1]-[#6X4]_eps_val;[1:1]-[#6X4]_rmin_half_val;dE_bulk_sim (kJ/mol);dE_bulk_sim_dir (kJ/mol);dE_vac_sim (kJ/mol);dE_vac_sim_dir (kJ/mol);dHvap_sim (kJ/mol);dVol_sim (mL/mol);dVol_sim_dir (mL/mol)
0;1036;12740.570568671252;85.27407463566105;36.77178221015082;2970;108.66485965571002;0.10666500000000001;1.91754;0.0157;1.479565;7.172347038245912;7.056454721767456;0.22968424818677022;0.22178123829316587;0.231469079723654;0.03193106719998324;0.03154148043610424
1;1671;13140.887306649889;84.77413683339135;34.670412831496606;3075;110.29480490292698;0.10666500000000001;1.91754;0.015307499999999996;1.494435;5.031130778226173;5.225625000038518;0.2110716286350086;0.2111193393658825;0.21202883966780642;0.023678759029340996;0.024388123694954786
2;1350;13112.216248407243;84.8922142151467;34.90311879234625;2766;110.84583338092143;0.10666500000000001;1.9080000000000001;0.015307499999999996;1.494435;6.1263750997222965;6.082960084648295;0.22344191125032695;0.2240001723703893;0.22478168800337447;0.0291153737191438;0.029095281648215458
3;1776;12337.694180639355;84.79815810798524;37.90755186468357;2580;106.87644301240023;0.11213499999999997;1.91754;0.0157;1.479565;5.543681505511481;5.187032257728004;0.23797419597718472;0.2329390614501052;0.23900509707984535;0.02215252222928331;0.02147905491001013
4;1553;12859.456432472514;85.19691006149775;36.21901275604865;2715;109.27302533705799;0.1094;1.91754;0.0157;1.494435;5.436756903823022;5.519429038385625;0.22420408304331546;0.22644239684204148;0.2252563075018038;0.024157229555049026;0.02424711392961955
5;1293;12628.280244564818;84.72378062337926;36.670673879884774;2691;108.42341817036684;0.1094;1.91754;0.016092499999999996;1.4869999999999999;6.139589258025559;6.225966491063281;0.23471634802541047;0.22804314572984283;0.2359976206192259;0.026995879931451607;0.02652422568839401
6;1717;12581.192719562618;84.7176961725722;36.852853190665186;2807;109.27825402520871;0.1094;1.89846;0.016092499999999996;1.4869999999999999;5.1701355011416785;5.257564294995089;0.22124611848558598;0.2256315876387993;0.22221055278374868;0.024087193919349607;0.023794397926038175
7;1755;12298.800596846691;84.70901947067553;37.973892142765685;3309;107.82119329782054;0.11213499999999997;1.89846;0.0157;1.479565;5.222846859540677;5.2394644884684425;0.20623576812601654;0.20710854373835613;0.20729120128226286;0.023059166763707225;0.023390011357783343
8;1234;12906.736839362122;85.18548293493897;36.018353519746725;3003;110.36690835410818;0.1094;1.89846;0.015307499999999996;1.494435;6.220633779498598;6.287761144098021;0.2165397457718252;0.21916870788449233;0.21796468076968056;0.03162719969538213;0.03172096264188974
9;1496;12783.658665199191;85.14854544604427;36.47385246799658;3381;109.14175495968152;0.10666500000000001;1.9080000000000001;0.015307499999999996;1.479565;5.558405358145494;5.673656666284013;0.2067010783879;0.20546081213564396;0.20789340955501626;0.027441234717055018;0.02712729887202025
10;1230;12733.599703329748;84.6681876482492;36.193742313077195;2596;109.02496884171462;0.1094;1.9080000000000001;0.015307499999999996;1.4869999999999999;6.526771520044383;6.395363055984708;0.22673333212986446;0.22999821877552729;0.22823142608118835;0.02927701652545356;0.028531898444237074
11;1335;13035.895243062536;85.34406655874467;35.660268388331176;2063;110.714833300539;0.10666500000000001;1.9080000000000001;0.0157;1.494435;6.1502522822484655;6.12606126814877;0.2625864540400237;0.2603543101152698;0.26373633709650435;0.030681366673987312;0.029865386103502055
12;1474;12675.20666178792;84.6845105406491;36.44368640370887;3262;108.5395028569208;0.11213499999999997;1.91754;0.0157;1.494435;5.630410052367006;5.7024107743408;0.19431627014155622;0.20601206391315546;0.1956170675726868;0.0248239145801565;0.024433812409284474
13;1553;12587.478030675047;84.64315614120603;36.75327432258472;3260;108.26431605072032;0.1094;1.9080000000000001;0.015307499999999996;1.479565;5.389317139673395;5.446275475802959;0.22176235342907238;0.21049308589390636;0.22280766870148025;0.024405742269626895;0.02534314446971961
14;1458;12769.323013378018;85.34915071498074;36.73175249603187;2869;109.61549937412131;0.10666500000000001;1.89846;0.015307499999999996;1.479565;6.179028963093783;5.96823056606222;0.22018477486161123;0.22536604651597159;0.22156764536377632;0.028630288672714853;0.028152096822477685
15;1711;12752.37344463302;85.47424976830378;36.92475262438475;3109;108.59767709846865;0.11213499999999997;1.91754;0.015307499999999996;1.494435;5.581786997651236;5.368167274207388;0.21874389640554237;0.21419556626991013;0.2198804078529492;0.023233087316768833;0.0226607921517667
16;1428;12807.992915095501;85.11914714932608;36.347110940866486;2728;109.20344631272982;0.1094;1.91754;0.016092499999999996;1.494435;5.965939479648658;5.935009026243193;0.22429069255662507;0.22993144149960854;0.2255566308420848;0.026759646463277303;0.02611591206752377
17;1812;12425.017997259918;85.11111247720815;37.8711927581574;2862;107.05673278302531;0.11213499999999997;1.91754;0.015307499999999996;1.479565;4.961620068695901;4.991373684047526;0.2213430720969543;0.22099651426666866;0.2222310472216642;0.02128749634038132;0.02110587109327698
18;1266;12531.530667931776;84.97540127089448;37.30921939771275;2909;109.15050945168646;0.11213499999999997;1.89846;0.016092499999999996;1.494435;6.174065444309844;6.173320070843208;0.22247101256372487;0.22506651851735068;0.22383756785942555;0.028565650357283923;0.02854083353662334
19;1600;12813.36371023458;84.78904102263766;35.995567812739;3180;108.74622733012276;0.10666500000000001;1.91754;0.015307499999999996;1.479565;5.625510028081076;5.553196886392181;0.22010696340054192;0.20837096491580523;0.2212541912659822;0.02453303943824878;0.02487446069596537
20;1519;12224.744951470371;84.72052748734487;38.28168178358083;2275;107.2366126985341;0.11213499999999997;1.9080000000000001;0.016092499999999996;1.479565;5.905416873389165;5.69324299075911;0.2360834743277553;0.24886292956772862;0.23726228109781453;0.024045969813186387;0.023947875017644452
21;1786;12554.902044604425;84.77909515187903;37.01951589160768;2929;108.27803815496651;0.11213499999999997;1.9080000000000001;0.015307499999999996;1.4869999999999999;5.04641471475423;5.207137183201058;0.21980013636515378;0.22253296171144488;0.22072507962372728;0.022551524660369665;0.022640433733069492
22;1380;12577.2073619943;84.71714494998355;36.86839553054374;3215;107.77199467931617;0.11213499999999997;1.91754;0.015307499999999996;1.4869999999999999;6.198099043863988;6.211657016007791;0.20518369590861044;0.2092912366898483;0.20667610404081155;0.025533189670710513;0.025803469703942053
23;2021;12744.392798742174;84.88951818833682;36.37178501313635;2882;110.16812110666947;0.1094;1.89846;0.016092499999999996;1.494435;4.971510601140269;4.904835314164482;0.21602421804401584;0.22468118392946837;0.21693758888083542;0.022977691543620192;0.022855829008558152
24;1424;12375.687982031981;84.77117944139384;37.72844305856741;2647;108.41044255946808;0.11213499999999997;1.89846;0.016092499999999996;1.4869999999999999;5.74381454744364;5.6764738390770475;0.23273371183906633;0.22589441832643817;0.23386501047008207;0.025998783369184694;0.025613201713667693
25;1639;12769.135142169927;85.47052867243582;36.853877249209965;3069;109.66192619943945;0.1094;1.9080000000000001;0.016092499999999996;1.494435;5.515989303870629;5.489622376969937;0.22317012606005399;0.21504616077029626;0.22425816234847634;0.024749602620441517;0.02421183052183949
26;1416;12695.923709466535;85.36597473946244;37.04218375730226;2938;109.51628013899769;0.10666500000000001;1.89846;0.0157;1.479565;5.8881791253469915;5.720955966842944;0.21077589107141684;0.21835553023087537;0.21208773354350005;0.028133721869149985;0.02726413229154832
27;1376;12593.771049652192;84.86674665166832;36.951641112236445;3198;108.7756517139887;0.1094;1.9080000000000001;0.016092499999999996;1.4869999999999999;6.093544441918035;5.894477935301885;0.21665334472632433;0.2149781287805585;0.2180201190935115;0.02542708245586666;0.025616257878412853
28;1225;12710.219181476761;85.31775684667555;36.93678496105877;2687;109.50653177956906;0.11213499999999997;1.89846;0.015307499999999996;1.494435;6.372770959941679;6.45457932404328;0.23299200071291165;0.2312948407433149;0.23438231110899366;0.030131637208992104;0.030324087645339073
29;1152;12780.490570849923;84.56498024083689;35.90299948809886;3303;108.74722117173404;0.1094;1.91754;0.015307499999999996;1.4869999999999999;6.310396250634369;6.500693209280672;0.20575924407107693;0.20662725098703213;0.2073017224769175;0.027573137137221627;0.02913802066469913
30;1117;12492.512090943697;85.12827896573403;37.61832090355126;3033;107.67028126707174;0.11213499999999997;1.91754;0.0157;1.4869999999999999;6.918881736592838;6.836638986743749;0.21516093140921153;0.2163319116642661;0.21693354098456727;0.027050145355227668;0.02676263690186715
31;1218;12962.874468514347;84.8353844434374;35.44368497889869;3067;110.56030179536515;0.10666500000000001;1.9080000000000001;0.016092499999999996;1.494435;6.408514813188287;6.245599491466499;0.209874489055644;0.21199277674373354;0.21143416507229237;0.030798450502534463;0.03026749051140803
32;1365;12490.089889248082;84.85019475854791;37.34982971547546;2903;108.61867406066341;0.1094;1.89846;0.0157;1.479565;5.929361807884235;5.954733085616348;0.2198969920308208;0.21984827960413658;0.22117234097973465;0.02633070389546745;0.027538699575775035
33;1578;12718.172677171062;85.19088959958937;36.77815270920937;2573;109.02160094800426;0.11213499999999997;1.9080000000000001;0.015307499999999996;1.494435;5.281086432208348;5.338346135043786;0.23588261824980533;0.23477776875716477;0.2368266192402576;0.024080554610226058;0.024095702375227523
34;1661;12951.220903829353;85.28888517231162;35.943750573281555;3035;111.04934368965223;0.10666500000000001;1.89846;0.016092499999999996;1.494435;5.5399902253640425;5.431886666595775;0.21276144260491728;0.21800627562543382;0.21391235432651107;0.026253945725054913;0.025930851029171736
35;1600;12301.837488201643;84.53975391464745;37.792529384413044;2972;107.32254879037806;0.11213499999999997;1.9080000000000001;0.0157;1.479565;5.632692831101334;5.572694813136147;0.22094388627007244;0.2173130666355504;0.2220897038191895;0.024049331586553684;0.023843601844043768
36;1380;12857.532266470298;85.07382404619447;36.10351062265568;2583;110.38967977813175;0.10666500000000001;1.89846;0.0157;1.4869999999999999;5.638772315768482;5.7505383217627974;0.23744472254140267;0.2376745502276953;0.23851358100466216;0.030094145139816963;0.028891756017990114
37;1613;12452.815300936621;85.58268542048155;38.2314219397505;3003;108.58690083726135;0.11213499999999997;1.89846;0.0157;1.4869999999999999;5.377799911613449;5.401765380163259;0.22849328304522112;0.2192015921207094;0.22950362113288048;0.024436809691132138;0.02386384617286944
38;1715;12396.036071007537;84.77741845287365;37.65333301179961;2818;107.98175290980986;0.11213499999999997;1.9080000000000001;0.016092499999999996;1.4869999999999999;5.24012456013157;5.262808635849782;0.2190945264379103;0.2219489242337657;0.22009487501301478;0.023116875450804698;0.02313135163316159
39;1804;12379.822627552932;85.24507078787232;38.18589359066072;2600;107.44244554330645;0.11213499999999997;1.9080000000000001;0.015307499999999996;1.479565;5.183453293559299;5.219725949988229;0.22985685865802466;0.23530420301640642;0.23079009182856272;0.022916280849459802;0.022390232843677704
40;1823;13077.435122119497;85.3108909071661;35.460980220996866;3002;110.24948209150993;0.10666500000000001;1.91754;0.0157;1.494435;4.908502166401341;5.1238122705905225;0.22153319454161227;0.21679749651744595;0.22240155256962416;0.02276452163362195;0.023365755859745284
41;1387;12568.700554629797;85.44171060450287;37.62688142424734;2990;108.83130432023233;0.1094;1.89846;0.015307499999999996;1.479565;5.943765054440335;5.890660175907839;0.21837247240677113;0.21743348399924675;0.21966290128549706;0.027577117634711202;0.027148128843297533
