;Hvap_sim (kJ/mol);Vol_sim (mL/mol);dHvap_sim (kJ/mol);dVol_sim (mL/mol);eps_val;rmin_half_val
0;37.82542229352021;107.17728912282718;0.20544222094733755;0.03664993321320981;0.111;1.911
1;35.122385157351005;110.8456311797353;0.2120461226920088;0.04389641719316936;0.1022;1.8975
2;35.31049157699342;108.8427059145888;0.22613871180368705;0.060232053182468666;0.104;1.923
3;38.37466017899219;106.37593646655533;0.21179153107669066;0.039014413102433074;0.1126;1.917
4;38.70635372721594;106.98192085384582;0.20466679229231066;0.038477836584713515;0.11415;1.894
5;36.80848331484207;108.68638574799526;0.21699778714921758;0.044968631834614074;0.1076;1.9045
6;36.30715425117708;110.32848407297315;0.20328007448593197;0.045979565891062626;0.1058;1.887
7;35.95119677782225;108.24878434723401;0.21721559029136864;0.0364886301953999;0.1058;1.92
8;37.06902262367052;107.27151826221238;0.21582142295647486;0.033701280855961066;0.1094;1.92
9;36.612196844051496;107.59778384581084;0.22547313276655148;0.05155879164724909;0.1076;1.923
10;37.196881907026054;106.76128828651102;0.21286547633886646;0.039487513140097096;0.111;1.92
11;34.76693168312185;109.5046147277082;0.2210045920878151;0.04357741998195414;0.1022;1.926
12;37.590169054507086;107.36510713579474;0.207248174071055;0.04290105244811127;0.111;1.908
13;35.319670971718296;109.92824667934482;0.21991367426766179;0.04483560190066615;0.1022;1.914
14;37.35050342148223;108.56913180406845;0.21749566428537415;0.0453384660741262;0.1094;1.894
15;35.51512217477334;110.18473116411033;0.21902934583398592;0.055375199688306204;0.104;1.901
16;38.153800149009406;107.76884637307869;0.21552962549050306;0.03490859097147286;0.1126;1.8905
17;38.52256177260328;105.32998537810236;0.20986443220887974;0.04161081858902394;0.1157;1.926
18;37.054811419699206;108.1933038525024;0.2127201252033268;0.040816064129722454;0.1094;1.901
19;37.16352471562353;106.70146168576929;0.24380902104357455;0.05439634585445775;0.111;1.923
20;35.1349534094219;108.99179172951187;0.23379592012770142;0.04399479817176616;0.104;1.92
21;35.743777988567054;110.31354212910688;0.2051243026637985;0.03644596814508781;0.104;1.894
22;35.27943011164835;109.40333284683807;0.22353659694237143;0.052249643411652696;0.104;1.914
23;36.960777546627455;109.09222259004747;0.21435674039960984;0.03776390707180583;0.1076;1.894
24;36.97891667761958;107.83568406092702;0.21299289298337631;0.04599729234274486;0.1094;1.908
25;34.94273233787815;109.47379108698115;0.2281699482396724;0.04898785813692956;0.1022;1.923
26;38.28200428277992;105.48165256438205;0.206743806134347;0.04461571021558854;0.1157;1.92
27;38.31567968263736;106.5837419224946;0.212985053878519;0.040055514510962315;0.11415;1.9045
28;37.0950590738679;108.4512005612399;0.22129216106554542;0.051745315507788756;0.1094;1.8975
29;37.799816677017134;107.43023099640297;0.21303164532104854;0.04142416329658152;0.1126;1.8975
30;38.8376336847497;107.27256192155573;0.219819306471087;0.04926024711894933;0.11415;1.8905
31;37.8050703956581;108.47072676124542;0.21090562225997758;0.043416774066524895;0.111;1.887
32;36.19131301380996;107.72305785457102;0.21741503245812652;0.0458231944640762;0.1076;1.92
33;39.11665279436895;106.83292124080808;0.2189913547134813;0.055476710682652516;0.1157;1.8905
34;39.12187174597723;106.5539807089174;0.22396114767185002;0.03392019298704992;0.1157;1.8975
35;37.965021661686656;106.43414848140621;0.22353296297801384;0.041394333636072825;0.11415;1.908
36;38.15175187975164;106.00344508571735;0.22269675138459624;0.04174265169264513;0.11415;1.917
37;38.118832059428385;107.01134352022537;0.21572721955615892;0.03774519793922059;0.1126;1.9045
38;38.30611060785677;107.19806499550263;0.23128427875593902;0.05188160768819127;0.1126;1.901
39;39.57957200979624;106.9069691809234;0.22007679554351794;0.03483253184758132;0.1157;1.887
40;36.16686902041273;108.68775167211898;0.2187281503990679;0.04819380204440034;0.1058;1.914
41;39.18053982603063;106.14490780600951;0.20100790047975428;0.04498919218475909;0.1157;1.9045
42;35.18249567989795;110.25334639996701;0.23299046255783554;0.0524216817891166;0.1022;1.908
43;36.17035019955233;110.16391518299766;0.21712522333988368;0.054048050066250984;0.104;1.8975
44;37.247358425174525;107.69031911318888;0.21585637714164954;0.04883026872385503;0.1094;1.911
45;35.2355504333553;110.6648638380905;0.22428611570290705;0.0531739034066355;0.1022;1.901
46;35.09830833982323;110.50494535742733;0.2203116329933371;0.04989173818341068;0.1022;1.9045
47;38.778584519473995;106.32652948596386;0.20860197843216927;0.04194594079086661;0.11415;1.911
48;39.04987112760077;107.0383201151816;0.2280904380174932;0.051345208358812115;0.11415;1.8975
49;36.504770519042765;108.70942961829428;0.20915802178046652;0.05736028688161614;0.1076;1.901
50;36.48994290727015;109.5636117016854;0.21952547723194926;0.044088553693063234;0.1058;1.901
51;35.448715451286944;108.68034940912558;0.22608015704848622;0.04005256220782262;0.104;1.926
52;38.28818027773319;106.77794809665707;0.21539276398405258;0.049848986851849755;0.1126;1.908
53;37.687186101110086;107.83969106063252;0.21955523097801657;0.04506167324679201;0.1094;1.908
54;37.63861700000696;106.33688891434316;0.2131117567076543;0.04158024388629831;0.1126;1.92
55;37.62356922132944;107.6188491395959;0.2130098151280707;0.04697571702745905;0.111;1.901
56;39.156821439342956;105.56132328620924;0.21792883071583005;0.041363959339803844;0.1157;1.9169999999999998
57;38.315682396615394;107.58663457716538;0.22878805023740884;0.04955570310654777;0.1126;1.894
58;34.91270484793891;109.5665995884219;0.2194164856660153;0.04524714056337602;0.1022;1.92
59;38.50069063747686;106.16002959470535;0.22148554578870075;0.056995646806550594;0.11415;1.914
