;C_p_res_sim (J/mol/K);Vol_sim (mL/mol);dC_p_res_sim (J/mol/K);dVol_sim (mL/mol);eps_val;rmin_half_val
0;50.3062886129978;107.92160574517042;3.821822556424881;0.053177810112175594;0.1058;1.9140000000000001
1;53.014112794188705;108.15528257040847;4.056770627686033;0.04594123426723261;0.1157;1.9169999999999998
2;59.57829512889235;107.25266930074879;4.856081635770157;0.06187486971693602;0.111;1.9140000000000001
3;56.49861898313314;109.02921522811222;5.518921641314606;0.06470615075110661;0.11415;1.8905
4;59.72231076320537;109.17606808558779;5.785318907706016;0.06808723038231833;0.10400000000000001;1.923
5;47.58323128596451;107.22315995464795;4.122216885289362;0.052786680544111814;0.1157;1.894
6;49.63886244779342;109.90354548555291;5.5891084432233225;0.09089889192311733;0.1076;1.911
7;54.17068341336741;109.7576107020325;5.201687748829564;0.05818836706251399;0.1076;1.9045
8;59.88060577435458;107.60617747321457;4.241052169194425;0.05142453097817156;0.1076;1.901
9;54.83769628397733;109.63397685646196;5.271938388852809;0.07323953651774008;0.11415;1.8975
10;52.083539422561934;109.57723289770355;4.226732337632113;0.054596975719493915;0.104;1.923
11;53.12124542168502;108.75011015307969;3.891093625338126;0.0555910942611648;0.1126;1.8905
12;58.813904437719;106.92591258269032;4.756361986196955;0.05108595489499172;0.1157;1.911
13;54.229818852030945;108.58615700416392;6.55934607736209;0.06533671818600521;0.1094;1.914
14;57.158072844385224;108.14967104730316;3.7245138739451895;0.04593313058444513;0.1126;1.923
15;65.29285469081232;107.52588736480786;6.986538317709422;0.0677562811075307;0.1126;1.92
16;48.577915511407184;109.93305321942448;3.950699721061167;0.05464202300112327;0.1094;1.908
17;46.71195853235976;108.92130757675692;3.631051673838559;0.05574191888949736;0.1126;1.914
18;55.53425359532072;106.47522040679358;3.8794310985456746;0.04297503519177431;0.111;1.894
