;C_p_res_sim (J/mol/K);Vol_sim (mL/mol);dC_p_res_sim (J/mol/K);dVol_sim (mL/mol);eps_val;rmin_half_val
0;54.66563941912211;107.56461559121311;2.24265373331423;0.026757806223561612;0.1058;1.9140000000000001
1;55.68943385423765;109.808727335881;2.984588964451918;0.035284773411322364;0.1157;1.9169999999999998
2;59.85540886173073;109.8053036803058;3.1856511877708367;0.03966482091180526;0.111;1.9140000000000001
3;53.5523828769122;109.76194437142955;2.127716046401645;0.03202277053088924;0.11415;1.8905
4;51.03222000547996;106.59510354213158;2.580092072512341;0.03078387213240375;0.10400000000000001;1.923
5;54.557669647794484;107.84478475209814;2.2778648075694696;0.031192213322765998;0.1157;1.894
6;55.17193859522351;108.66280114582695;2.323901406345787;0.029662426098197282;0.1076;1.911
7;53.13251066436545;108.97882448306225;2.2030318537013716;0.030325714940571555;0.1076;1.9045
8;57.96212781873782;109.20871131506883;2.732261584561286;0.0354234316531932;0.1076;1.901
9;56.90496432074694;109.87686301237915;2.376688384080356;0.03162487997278815;0.11415;1.8975
10;53.48646635976688;107.32524997188025;2.1990833998410007;0.024262369207016393;0.104;1.923
11;57.971439851008135;108.81213403376184;2.642309095251672;0.029891544915272433;0.1126;1.8905
12;55.04224030705727;107.57210264049758;2.223316038032704;0.027627631860731004;0.1157;1.911
13;51.94589946187667;106.86706997147688;2.069533309246044;0.025247932551868052;0.1094;1.914
14;57.51155440387081;108.45742060930864;2.5258676557231685;0.030163666748548406;0.1126;1.923
15;56.96723183872796;108.14000407805376;2.5526168427218656;0.03229527090025774;0.1126;1.92
16;56.94617576835231;109.58549575038654;2.009077678948823;0.025658620902603492;0.1094;1.908
17;52.53983152265835;108.11003946772024;2.597791743347497;0.03406011943156551;0.1126;1.914
18;52.60955806877171;107.16694473981812;2.9751389570183124;0.03568210891775343;0.111;1.894
