;C_p_res_bootstrap (J/mol/K);C_p_res_expect (J/mol/K);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dC_p_res_bootstrap (J/mol/K);dC_p_res_expect (J/mol/K);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values;rmin_half values
0;47.33415609601774;47.55426924176886;463.9999999999942;107.76548013207199;107.76551327117187;3.156352916442392;332.29172139959616;0.04362725543274937;0.04329670789619862;0.1094;1.908
1;43.70123277369036;43.84228460668321;215.62948197623248;107.79788267005414;107.79951123502182;3.69309059757168;451.9314876114077;0.05840151442988389;0.058560599507562525;0.1076;1.92
2;44.98509869041622;45.26175535489889;159.81139028893068;108.07758378682234;108.08096139528335;4.325792684403045;566.3607089705994;0.06925570405659877;0.07111869073544233;0.1058;1.923
3;43.44417368160841;43.699264172276614;110.63694400670393;108.01734020629023;108.02150568166395;4.865274180865619;638.1569366928725;0.07738315102289346;0.07907047015667723;0.1058;1.926
4;41.04585416972349;41.163987778600976;147.53293762762317;107.47138892128723;107.47259587162036;3.913933373484329;503.3210058988002;0.0663515411497922;0.06573331509761192;0.1094;1.92
5;46.233343583881464;46.521903861297986;208.8990979945808;108.14938532476073;108.15244699496746;3.9761332831271887;509.75019452487544;0.06424481372085337;0.06589187223990464;0.1058;1.92
6;37.40922107520329;37.47179445977018;46.62437462553768;107.42813144125677;107.43378196894352;5.121364963701077;763.7450254880678;0.09129992152765964;0.0905676427063235;0.1094;1.926
7;39.36298858892728;39.46097659924124;85.00493689269713;107.4401981938472;107.44310013316759;4.498253860935559;611.8232272270361;0.07781476788756607;0.07732011655471621;0.1094;1.923
8;39.97529492071517;40.02163098167354;78.56567244657414;107.70568581881196;107.70944126992943;4.827062920221022;620.1895319821309;0.07635631486997968;0.0754964755095626;0.1076;1.926
9;41.989638123444344;42.09562723600054;136.47404978636249;107.74390920518995;107.74644383608812;4.2243699469691744;522.5280121053975;0.06676532483945738;0.06646784212751315;0.1076;1.923
10;47.45501103273926;47.55426928981811;463.9999999999942;107.76488802761094;107.76551327117187;3.288053559875192;332.29172156432537;0.0427116480931309;0.04329670789620012;0.1094;1.908
11;36.59367147437894;36.5339192817322;21.701047970492183;109.02315149638143;109.04457304899513;12.023376459598925;897.528591946279;0.17993651149568016;0.1816434681106718;0.1022;1.901
12;36.11284333770122;36.12194801943025;20.56042042628249;108.85447715071629;108.87021828959169;11.016194492940237;898.0744628376001;0.18004891105349674;0.18134566913659092;0.104;1.894
13;32.196148517386376;31.743298857537326;13.144148106671224;109.00222086072014;109.0311114053592;12.400671432789862;934.3612353447926;0.22687268436233585;0.2304713427034515;0.1022;1.894
14;45.38448244602309;45.71886168336381;76.20620186846044;108.61472433019013;108.6199207245365;8.33967712171332;686.8618486313542;0.10018109097545083;0.09922284417544827;0.1058;1.901
15;38.68841662233999;38.832478344027855;27.682068235432702;108.85361376911408;108.86706425316498;10.785533102787623;858.9494593639549;0.1604269947802031;0.16152260472003485;0.104;1.8975
