;C_p_res_sim (J/mol/K);Vol_sim (mL/mol);dC_p_res_sim (J/mol/K);dVol_sim (mL/mol);eps_val;rmin_half_val
0;51.10540659457359;107.21716159554174;4.1794473511569095;0.054270425275398874;0.1094;1.908
1;51.05962507679967;105.72266835574261;3.0693480643478814;0.03644222743534139;0.1076;1.901
2;48.64976182480738;106.94026885352257;3.942190981927711;0.06177982679115944;0.1157;1.911
3;50.38510256021292;106.63100684895521;2.7903285172198475;0.0349424386571362;0.1076;1.9045
4;52.086785850346644;107.59955360277159;3.1291925470197235;0.035860059503177846;0.1076;1.911
5;49.30939391779588;106.49851862951346;3.157329195669365;0.04010228111474765;0.1094;1.914
6;53.32216651171304;108.06095691684487;3.7278150795450427;0.04598965608666596;0.1126;1.914
7;44.74949002123999;107.2274097134903;2.9723153737182915;0.047423394301240346;0.111;1.9140000000000001
8;45.73709246202722;108.92836246730513;2.693197126426695;0.04182988178247082;0.1126;1.8905
9;46.821950214426224;108.64493699165547;2.346681017571655;0.032421839801181185;0.111;1.894
10;48.310421541818585;106.3586432613619;3.5778255910244616;0.04611773808200137;0.11415;1.8905
11;46.52149825189074;108.23546125999053;2.8559858128286604;0.04508912431132954;0.104;1.923
12;51.78780676648164;108.83003921364875;4.05045560502289;0.048044240701611195;0.10400000000000001;1.923
13;48.071312848068956;108.78554439514922;2.2059599027064003;0.03124889971584716;0.1157;1.9169999999999998
14;47.384880919988476;105.85154649923113;2.9023931983004423;0.03637570761617978;0.1126;1.92
15;51.1095537549784;107.78113158126266;3.008265142531437;0.04348316211536492;0.11415;1.8975
16;52.98452341733524;108.90600643754799;4.502845802129956;0.055749457234831025;0.1058;1.9140000000000001
17;51.020757691910205;108.01365195441481;3.696526359830747;0.04574760344194811;0.1157;1.894
18;48.34927181280466;106.63132915534678;2.3684232391703692;0.03239345568474072;0.1126;1.923
