;Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values;rmin_half values
0;37.07243821483426;37.078108433382155;440.1211983015633;2.7827812348962877e-16;-1.6875389974302383e-14;0.17463802422047284;0.1680775169349789;1.5568685711603734e-14;0.0;0.1094;1.908
1;33.07592768565965;33.06862475304742;671.1077512427318;-1.4722957587821893e-15;5.3290705182007506e-15;0.17592284295736765;0.17101499934754427;1.2517378647431616e-14;0.0;0.111;1.855
2;38.20202487756081;38.20253468586754;135.65278914130374;-5.054348664659872e-16;9.769962616701378e-14;0.17877872168200018;0.17564747125121674;1.3325552780421866e-13;0.0;0.111;1.914
3;37.345378851126405;37.345800646531245;393.0566894305494;1.2091317825747452e-16;-9.14823772291129e-14;0.17199856357424342;0.16839027175394586;1.2895947299337178e-13;0.0;0.1094;1.911
4;38.243490113547956;38.24286610679235;171.23581514375027;-6.956953087240722e-16;2.398081733190338e-14;0.1772438645040243;0.17393890285920946;1.2753349228635145e-13;0.0;0.1126;1.908
5;37.613863343580974;37.61300900701922;285.2698455278869;-2.1346510367367367e-15;-1.9539925233402755e-14;0.17290793346847452;0.16986582931922944;1.2621112583655838e-13;0.0;0.1094;1.914
6;37.67593721323007;37.675822152744814;331.4284248556404;-8.366125054432612e-16;-8.526512829121202e-14;0.17270507829578405;0.16914443140368454;1.342761179309225e-13;0.0;0.111;1.908
7;38.75783229195075;38.76265533558401;55.428083539737784;9.210739167260555e-16;2.8421709430404014e-14;0.19129763259002205;0.1876945792324068;1.2948949926042293e-13;0.0;0.1126;1.914
8;37.9386400078378;37.937920129223215;233.9922100639665;1.1602330707794429e-15;1.0480505352461478e-13;0.17448137217483828;0.17124305047862146;1.287950364184402e-13;3.725290298461914e-09;0.111;1.911
9;38.49989188958425;38.50116368476428;102.9502884731368;-6.2092473305161905e-15;-9.015010959956274e-14;0.1827780608904066;0.17942521424157;1.2845908546704554e-13;0.0;0.1126;1.911
10;36.571807165916965;36.56669687001859;711.027560845081;-1.6935846563431117e-14;-2.3092638912203256e-14;0.1788154869373253;0.1683649078840879;1.2043818862633041e-14;0.0;0.1094;1.908
11;32.91301257672136;32.91027780463141;481.62310612044814;-3.334003076952422e-16;9.769962616701378e-15;0.17855891633775622;0.1704409421359556;1.7710907199706908e-14;0.0;0.111;1.855
12;36.10649004780417;36.09944878643863;447.5572607813545;1.2953713288319145e-15;1.4210854715202006e-13;0.1797594122954818;0.16838134120160556;1.267149440119918e-13;6.585445079827192e-10;0.111;1.901
13;36.867629710304186;36.862395634963214;614.325158521523;3.897671863829179e-15;-7.105427357601002e-15;0.17954127349278526;0.1689783738733677;1.2709384268889874e-13;9.313225746154783e-10;0.111;1.9045
14;35.810222584380824;35.80380017895022;523.0446987940663;-1.012647867906349e-15;9.237055564881302e-14;0.17946191946179224;0.16812662743699708;1.2930128768235006e-13;0.0;0.1094;1.9045
15;38.19656369389505;38.193467320963016;176.73738196040844;1.446068267910164e-15;-1.270095140171179e-13;0.18134220454036776;0.17394512852512511;1.3106734350252004e-13;1.3170890159654384e-09;0.1126;1.908
16;37.14098419825981;37.13572481536926;407.45070939828895;-2.70276516104943e-15;-7.194245199571014e-14;0.18238705760627888;;1.2212031489702199e-13;;0.1126;1.901
17;37.52429005821649;37.52028732964012;392.21856679819354;2.9970464993084308e-15;-1.4566126083082056e-13;0.17725356334481204;0.16903856140410187;1.3027327243788944e-13;1.3170890159654384e-09;0.111;1.908
18;37.79263693822228;37.7890080246623;282.9676892087952;-7.930481985710827e-16;-9.14823772291129e-14;0.17927951298479788;0.1713331360400686;1.2430032538941622e-13;9.313225746154783e-10;0.1126;1.9045
19;35.34154142644075;35.3358889375118;375.0488177228455;1.2962603963191017e-15;1.3677947663381929e-13;0.17720762437320195;0.1678051804265853;1.2827787087794145e-13;0.0;0.1094;1.901
20;37.07240577915125;37.07810843327676;440.12119830203886;2.604967737458825e-16;-2.664535259100376e-15;0.17056645720353136;;1.532803736594191e-14;;0.1094;1.908
21;33.06888858221959;33.06862475304765;671.1077512432161;-6.659115479032973e-16;-2.664535259100376e-15;0.17094596369131618;;1.0718627418394013e-14;;0.111;1.855
22;35.309008133665046;35.34536265723383;30.975103010466828;7.100759753293269e-15;-1.4654943925052066e-13;0.2710626345635245;0.20649842040453334;1.2278597100762438e-13;3.725290298461914e-09;0.1022;1.92
23;36.74739419966188;36.745759342393214;171.60207185420484;3.6914082068017205e-15;-8.126832540256146e-14;0.17417256153602242;;1.2377211462091633e-13;;0.1058;1.92
24;36.30843742925432;36.30762647429445;71.95060765001968;-6.0998920295921505e-15;1.1368683772161605e-13;0.18369180895182047;0.18197382859333533;1.1851983817352827e-13;0.0;0.104;1.923
25;36.032494266221306;36.03611240003698;73.24521214746825;5.063239339531745e-16;1.3500311979441906e-13;0.19114320807225332;0.18289943426512367;1.186161171007111e-13;0.0;0.104;1.92
26;35.893743090878274;35.90217654953208;27.872147797729863;-1.3558279179606517e-15;-1.4166445794216995e-13;0.202827882354135;0.1960059836055302;1.2511672363530674e-13;0.0;0.1022;1.926
27;35.61238604921225;35.63186606825156;29.865367230908898;-4.158613171318655e-16;9.769962616701378e-15;0.22581841529510846;;1.205669547556015e-13;;0.1022;1.923
28;37.01905000572405;37.017830371316364;139.66088239079826;-5.97097724394999e-15;1.461053500406706e-13;0.17583153613129188;0.17666120822381645;1.2034229654290734e-13;5.2683560638617535e-09;0.1058;1.923
29;36.57741730772632;36.57617763162075;68.0608914056731;-5.103691910198768e-15;1.5809575870662232e-13;0.18417166071630006;0.18368167738631772;1.1814507012099316e-13;0.0;0.104;1.926
30;37.29097844153877;37.290986189448866;95.8311331296704;3.1561895795149587e-17;-1.616484723854228e-13;0.17922021350582418;0.18002513172121504;1.2059588952785449e-13;5.2683560638617535e-09;0.1058;1.926
31;37.086504473794975;37.07810843334819;440.1211983000789;3.2095336287461984e-16;8.88178419700125e-15;0.1681906835170208;0.16807751693510867;1.5355046555049026e-14;5.2683560638617535e-09;0.1094;1.908
32;33.08335314920157;33.068624753001124;671.1077512412787;-1.6936735630918306e-15;-9.769962616701378e-15;0.16704819041983635;0.17101499934773082;1.6598617025061972e-14;0.0;0.111;1.855
33;34.70466525439278;34.717752323222825;26.02100327396207;-8.577278582639598e-16;-1.9317880628477726e-13;0.36208495121383855;0.21287406398229355;1.2155079481291474e-13;0.0;0.1022;1.914
34;36.043456992450594;36.03611240318197;73.2452112806928;1.0490996348810287e-16;-9.814371537686383e-14;0.1876541489752527;0.1828994345843912;1.2075306313852074e-13;0.0;0.104;1.92
35;36.48522731934881;36.473490853286094;183.88740903710038;2.8579074375636157e-15;-7.549516567451064e-15;0.17362056273685592;;1.250298777806024e-13;;0.1058;1.917
36;35.323002723632115;35.34536266322478;30.97510264197937;2.3364693563282576e-15;1.8118839761882557e-13;0.2658926709132762;0.20649842111653985;1.2063979945039017e-13;5.2683560638617535e-09;0.1022;1.92
37;35.75418705518971;35.755300933867005;70.65833708687494;1.86259638565742e-16;-7.727152251391091e-14;0.21128951448857414;;1.261626198137389e-13;;0.104;1.917
38;36.20311195450717;36.196452025949476;176.50470407804005;1.4478464028845384e-15;-1.4077627952246985e-13;0.1846459383795444;0.1747818041497302;1.242275428438386e-13;3.725290298461914e-09;0.1058;1.914
39;35.010884638246694;35.03936386104057;29.73984439051135;8.760315351564286e-15;1.9229062786507711e-13;0.32021049011829433;0.21042657731539288;1.215946111743441e-13;3.725290298461914e-09;0.1022;1.917
40;35.44987018075412;35.460553499887034;62.227106649406615;-2.58296331715094e-15;-2.1760371282653068e-14;0.2564207367617837;;1.2536594486562984e-13;;0.104;1.914
41;36.75851450487972;36.74575934655317;171.6020721792437;-2.5596252956122734e-15;2.486899575160351e-14;0.17194934779794774;0.17439177121282573;1.2494272133658365e-13;0.0;0.1058;1.92
42;36.57797694347399;36.56669686917774;711.0275610555034;-1.730480957061385e-14;-1.5099033134902132e-14;0.16894000799654246;0.1683649078931067;1.1607519249166463e-14;3.226196034939731e-09;0.1094;1.908
43;32.92046483262361;32.910277805781234;481.62310634641744;1.667001538476211e-15;-6.2172489379008774e-15;0.17058322350505153;;2.7168702169918647e-14;;0.111;1.855
44;39.1828480837291;39.18679645573581;12.49162668185036;1.2758118441137936e-16;1.8118839761882557e-13;0.20074366405903;0.19899440297001286;1.2539261611845355e-13;6.452392069879462e-09;0.111;1.926
45;38.3919810006341;38.385171898284646;45.004823230161236;-4.295529564345501e-15;1.532107773982716e-13;0.1823410819094994;0.184190726717827;1.2677927151983028e-13;4.562530187486071e-09;0.1094;1.923
46;38.63790159296307;38.634672919410136;24.457256898561955;4.31019917788409e-15;1.0191847366058936e-13;0.1885931782878939;0.1898617250958904;1.2148391970480714e-13;2.6341780319308768e-09;0.1094;1.926
47;38.953103861162745;38.95344061673894;20.38965768961313;3.9799106063940035e-15;-2.020605904817785e-14;0.19513324420914907;0.19562062653519335;1.2858037681638324e-13;5.2683560638617535e-09;0.111;1.923
48;39.69042487808043;39.69976487647029;7.631664569957242;4.306976308243037e-15;-1.0524914273446484e-13;0.21274963178574466;0.20615541539482826;1.267295309126875e-13;5.2683560638617535e-09;0.1126;1.926
49;39.474773914532186;39.48237078312474;10.991117781518211;-1.0222053433936123e-15;-9.747758156208874e-14;0.208967656647166;0.20543658289570615;1.2472454189049712e-13;0.0;0.1126;1.923
50;38.707976955697475;38.70386478811751;36.64710664291991;1.454958942782037e-15;1.5232259897857148e-13;0.18800580484364865;0.18978397139053435;1.2671342435693506e-13;4.928095845625905e-09;0.111;1.92
51;39.244018767426724;39.247600983636005;17.314683582341303;3.5413780683388636e-15;1.1857181902996672e-13;0.20311749599306472;0.20261065023948302;1.3087493281731407e-13;2.6341780319308768e-09;0.1126;1.92
52;38.1321850790926;38.122345462670864;88.19387741662204;4.098601115933511e-16;-1.4210854715202004e-14;0.1762407458013077;0.17812516903972295;1.272137429099706e-13;2.6341780319308768e-09;0.1094;1.92
53;37.07031593483006;37.07810843326333;440.12119826064634;-9.335208615466782e-16;-1.3322676295501878e-14;0.1727994562886702;0.16807751693596704;1.4987050266880658e-14;5.2683560638617535e-09;0.1094;1.908
54;33.068663636724274;33.06862475310406;671.1077512020902;-8.08162345853267e-16;3.552713678800501e-15;0.17228521841948394;;1.0952646641965537e-14;;0.111;1.855
55;39.257490754484884;39.26273046273689;39.20090597609649;2.3151317366357614e-15;-1.270095140171179e-13;0.20073763952173074;0.19818927216739649;1.2593393150565033e-13;3.725290298461914e-09;0.1157;1.908
56;39.50014075645512;39.509549926206496;23.276310507097662;-5.262834990405297e-15;5.062616992290713e-14;0.2128141164197075;;1.2650550172694068e-13;;0.1157;1.911
57;39.74111071606772;39.755748315704324;14.30769709128199;-1.113112493958515e-15;1.1213252548714079e-13;0.2244824276688831;0.21849660637407545;1.2619190844305642e-13;7.450580596923828e-09;0.1157;1.914
58;39.0137134164536;39.01944553478253;46.00260295849861;-4.046146134189459e-15;3.68594044175552e-14;0.19540464021218526;0.19283935672814745;1.2572365284978605e-13;3.725290298461914e-09;0.11415;1.911
59;38.498259689406595;38.501163679477685;102.95028745601795;-2.2942386506868602e-15;1.176836406102666e-13;0.18162050708904928;0.17942521457976576;1.303068885368103e-13;0.0;0.1126;1.911
60;38.757024809576784;38.76265533552432;55.42808370192676;3.921676685983236e-15;-5.551115123125783e-14;0.1901132431152669;0.18769457916835616;1.3071693388479054e-13;5.2683560638617535e-09;0.1126;1.914
61;39.26481063069026;39.274923807066735;25.885844048603786;-1.2097985831901355e-15;-1.2212453270876722e-13;0.2065085385117488;;1.3158595339309695e-13;;0.11415;1.914
62;38.762808363858426;38.76563127716177;79.9824766711872;3.285548898900713e-15;-2.0516921495072893e-13;0.18595012971311967;0.18365217523263289;1.2548556148490521e-13;0.0;0.11415;1.908
63;38.24121659093448;38.242866112395454;171.2358146752147;-2.7685561551012914e-15;1.7630341631047486e-13;0.17599930315677434;0.17393890287080538;1.2432041202299823e-13;3.725290298461914e-09;0.1126;1.908
64;37.06298521485046;37.078108433347246;440.1211983019442;7.210337321089106e-16;9.769962616701378e-15;0.16981994326481412;0.16807751693675538;1.5867993073849625e-14;3.725290298461914e-09;0.1094;1.908
65;33.06037225180793;33.06862475309307;671.1077512431323;-1.129115708727887e-15;-8.88178419700125e-15;0.16824105372661424;;1.4365090144243882e-14;;0.111;1.855
66;34.35888185759181;34.291810947370216;39.91051779799239;-1.6029886793987242e-15;1.6120438317557273e-13;0.3114009693212509;0.19567677474815467;1.281997350722507e-13;2.6341780319308768e-09;0.1058;1.894
67;33.324607854937376;33.21334975143301;7.706061564688624;2.833680348537761e-15;9.592326932761353e-14;0.31068517042307314;0.2296393618296885;1.302304268412527e-13;0.0;0.1022;1.8975
68;33.70576593854434;33.62558782132265;20.607312827850198;9.109163206849407e-15;2.209343819004061e-13;0.3031078140877644;0.2098396528680765;1.30528934341933e-13;2.6341780319308768e-09;0.104;1.894
69;34.91307101089008;34.9044353119427;50.34545685416733;-7.132543915960215e-16;1.1057821325266562e-13;0.3160746228469495;0.19844460767412253;1.2448620294054792e-13;0.0;0.1058;1.901
70;33.95708057931581;33.886018221985005;21.940990876265456;-4.2517429906015256e-15;-1.905142710256769e-13;0.32270517814232025;0.2088183710153655;1.3159675272759912e-13;5.890201144234053e-09;0.104;1.8975
71;33.0826181196805;32.97986187844611;6.859677273632709;5.590011825690226e-17;-1.4210854715202006e-13;0.2821624857254951;0.22186517228418168;1.2662467906768446e-13;7.450580596923828e-09;0.1022;1.894
72;34.62621051237924;34.5823020428634;41.220252563027074;-5.500882810099699e-15;-1.474376176702208e-13;0.3190515322051548;0.19837351022000366;1.2938727792450514e-13;4.562530187486071e-09;0.1058;1.8975
73;34.21879238454028;34.17192353677773;24.050387807699853;6.056772256463568e-16;1.0791367799356524e-13;0.336617915539573;0.20698049776396849;1.2805366994766263e-13;3.725290298461914e-09;0.104;1.901
