;Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values;rmin_half values
133;33.06814839491377;33.068577209581946;671.1077513554102;43.6642337764449;0.4707257206290403;0.17366405545018213;0.17101500082955098;1.2754040375317208;0.22292705791355646;0.111;1.855
134;39.702232903778615;39.71285979952092;7.631658200563327;42.5249663730161;106.36705744638135;0.214179700420532;0.205781202622054;17.97361457317479;0.14486443200695978;0.1126;1.926
135;38.71700095691446;38.71754780026125;36.637618613741346;42.507594985937416;106.81324468636349;0.19017661633750094;0.18953213800814125;8.416471069296486;0.12717520963934878;0.111;1.92
136;39.485514472692245;39.49561303418996;10.991059486301104;42.48681280423308;106.42038847743008;0.21028518102439767;0.20511724015307486;15.060847470560345;0.13901734367956475;0.1126;1.923
137;38.14192490207733;38.137678623585565;88.00942356727946;42.61421989212972;107.23688819182979;0.17851522727964098;0.1778939792884459;5.436399720987423;0.10268491685212257;0.1094;1.92
138;39.253634096408376;39.26100922591108;17.314123806211732;42.44590976128391;106.4948484866906;0.2045309317280491;0.20234310042651;12.104750583382744;0.13020481961617356;0.1126;1.92
139;38.648079057060286;38.64797732907837;24.455686584745962;42.76489348681875;106.97745373807768;0.191357575769486;0.189529213898089;10.29291659168351;0.16755083125035294;0.1094;1.926
140;38.963121550401894;38.96679472862769;20.38877237425644;42.56329404564999;106.70358992110796;0.1974027337726271;0.19532031014076745;11.153558597122078;0.14875174698625776;0.111;1.923
141;39.19401747380058;39.199977573308395;12.491536831088832;42.61691850888105;106.61541541594127;0.2031718269331068;0.1986420977476404;14.070843676806168;0.16503455246747858;0.111;1.926
142;38.401201460763744;38.3988908297796;44.98797283321533;42.68403101510381;107.10065686318028;0.18481125865879056;0.18390779682803526;7.6521941474657265;0.1347914254608177;0.1094;1.923
143;37.06466709214211;37.06728904078897;440.12119830021413;42.62482684978783;107.12269823876541;0.17124385094891026;0.16807752036819829;1.9723079717570264;0.3363511494013018;0.1094;1.908
144;33.063068571469515;33.06857720982083;671.1077512414156;43.630982850689705;0.4707257037670309;0.17327359855028673;0.1710150008298502;1.32085533897888;0.2229270533860907;0.111;1.855
145;38.74980538019409;38.75187847676501;55.42808387122696;42.14233439183519;106.70149759978548;0.18751906323122788;0.1876945797412508;6.8857031972462535;0.09890638588482484;0.1126;1.914
146;37.66710683234443;37.66499688194671;331.4284287429958;42.50885631637622;107.18079384763277;0.16924760686635634;0.16914443163131512;2.459617160889895;0.0984243207305894;0.111;1.908
147;37.605280892329226;37.60215522943749;285.2698411043167;42.523983307146274;107.46310837717913;0.16954600653120247;0.16986582944379652;2.7531253069175983;0.06833830317344508;0.1094;1.914
148;38.19349932951775;38.19172105015665;135.65278925417394;42.34519453127823;107.06551713416418;0.17519125555418416;0.17564747183110574;4.31242642950047;0.0786964480434911;0.111;1.914
149;37.33714396402088;37.33494923474135;393.0566881268747;42.58263433671456;107.43965369170294;0.16867719304870665;0.16839027219553693;2.1800022463598547;0.12760203474150314;0.1094;1.911
150;37.929889145511375;37.92709628970892;233.99222986326083;42.443737236323145;107.16672648834414;0.17095616163171531;0.17124305072605192;3.124208685742621;0.0649502490529742;0.111;1.911
151;38.491139179125746;38.49037517060985;102.95028842614605;42.28456428395098;106.81686537393179;0.17924949619970562;0.17942521475549686;4.97679785920155;0.08010248809401795;0.1126;1.911
152;38.234188633275274;38.23206775956059;171.23581546756634;42.38812315282547;106.91433816060837;0.17384280591371792;0.17393890307658186;3.7192619582114954;0.06787156754195571;0.1126;1.908
153;37.07174540217817;37.06728904080353;440.1211983498327;42.701799149636706;107.12269823114565;0.16919504527932358;0.16807752036874385;1.926218047002996;0.33635115109637403;0.1094;1.908
154;33.07182259969122;33.068577209741626;671.107751290688;43.581587681083406;0.4707257087476329;0.17049945332964495;0.1710150008300089;1.2894284052495586;0.22292705453587364;0.111;1.855
155;36.738754453295726;36.74933514836733;398.66794250126287;42.825267956357436;105.88843217832131;0.1852139878721094;0.1690516180385986;2.0966335194347523;0.9674959182541848;0.1094;1.9045
156;35.235246757090934;35.24359039690651;72.3623782711919;43.67348652961403;93.87323150606302;0.2979332853165207;0.19327498496366347;5.957993828178863;6.38538361994284;0.1058;1.9045
157;36.387718071183095;36.419001771696465;294.08555015520125;42.965459839218205;102.73722048299959;0.2267256949345973;0.17239405676705555;2.7097936062357304;2.3750815434836734;0.1094;1.901
158;36.34546945922649;36.3543367657544;309.03845017688235;43.05289900132982;105.78192774816851;0.1922822187865444;0.17119821872549212;2.5980917161600003;1.2455824503947015;0.1076;1.908
159;35.990977024709856;36.014796414056846;218.94634099364686;43.202862527904756;102.06487979703951;0.2366192172128761;0.1761746577217894;3.2858849513987964;2.8930766185517807;0.1076;1.9045
160;35.58127269048361;35.600144618348715;111.13419379898122;43.509196144339626;101.58368721866407;0.2542990274638266;0.18465480335416726;4.867658667573705;3.455888275415007;0.1058;1.908
161;34.920626660634746;34.89612133031865;50.34545637693885;43.786344142084225;82.31668536562877;0.3203916051187943;0.19844703352643825;6.904726501443701;9.714155610551787;0.1058;1.901
162;35.64318152260042;35.662854792223634;137.3999905931255;43.339854356406185;94.9083212206218;0.2828395966454536;0.18434604032263696;4.218964597285378;5.5647999152997425;0.1076;1.901
163;37.075727204555314;37.06728904079005;440.1211983015244;42.66977617828199;107.12269823858783;0.1710683787436525;0.16807752036877094;1.9438058958824942;0.3363511494388199;0.1094;1.908
164;33.07337993046237;33.06857720977423;671.1077512426837;43.601051546180436;0.470725703883188;0.16944772236056896;0.17101500082988869;1.3009404152898758;0.2229270534120272;0.111;1.855
165;37.01972637487491;37.00689727936689;139.66088026170766;42.82489651676279;108.2484101317079;0.17671010834784853;0.17666120792799614;4.111752582478472;0.09998209983773036;0.1058;1.923
166;37.46071628420968;37.448505944484744;186.15599201962343;42.68751229668676;107.78834522293192;0.1724234098027431;0.17251472258487238;3.4211777900011717;0.07537505400330212;0.1076;1.92
167;36.748759880596474;36.734825239396855;171.602069828792;42.87937719853394;108.25854418120413;0.17463047071256954;0.1743917713932504;3.7243755238031677;0.15082712829850656;0.1058;1.92
