;C_p_res_bootstrap (J/mol/K);C_p_res_expect (J/mol/K);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dC_p_res_bootstrap (J/mol/K);dC_p_res_expect (J/mol/K);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values;rmin_half values
99;38.19710913755269;38.407761509070525;43.490753033974826;107.47654639585232;107.4574887552947;5.997155694124674;666.5040875656181;0.12415537353248512;0.1198015503548271;0.1157;1.901
100;46.02463202726269;46.29929457359597;302.00000000005963;108.90919818144778;108.90855966594006;3.4939094623565774;374.5396223249849;0.05742347155027471;0.0581340394075562;0.1094;1.908
101;40.473010872996994;41.85068786490572;18.1190784410593;110.10877496489715;110.11900537871516;11.340631542314522;1167.006186410871;0.1420438123443916;0.1354127359282951;0.1058;1.8905
102;40.72911736474743;42.00133202497732;24.69433966042552;110.1168675101873;110.12456708888195;9.61613643594604;1056.1503016817453;0.13128622795897069;0.12745505164029225;0.1058;1.894
103;35.309776582312104;35.40941874635912;9.434835954734858;110.3331759250363;110.34792682135641;13.530639145869072;1154.9797665354656;0.14304111080410692;0.12422936215265305;0.104;1.887
104;30.10619579735716;29.331477437056993;7.2017854443221285;110.51043501390804;110.52038005518926;12.836077158570724;1085.7873452444696;0.14495346902328055;0.12362187186303815;0.1022;1.887
105;30.586244136943666;30.487236376085768;8.965864732785416;110.54515125895621;110.55573112302973;11.29222809703912;1116.2726888830693;0.14834013395081594;0.13364640030415625;0.1022;1.8905
106;35.79516777914485;36.276747740433976;12.078140399933755;110.35665023473513;110.36892188169323;11.866527556556857;1123.4995729202558;0.1400553056460984;0.12683315551120186;0.104;1.8905
107;36.17552920665474;36.96657118751918;15.778649078532851;110.38284024935213;110.39367588086405;10.177776491528242;1091.7226531935291;0.13819363045763525;0.12964943639565182;0.104;1.894
108;30.966310189043234;31.409542360616825;11.21374133090796;110.58433586069174;110.59643697765043;9.797108931740906;1136.4170437093746;0.15092461241689167;0.14087372091093472;0.1022;1.894
