;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values C;rmin_half values C
0;12669.293261440991;87.20869344645494;38.98480226688796;38.991482443615936;848.0000000002698;108.93888784379723;108.9401690597967;7.755243832471773;0.25301373095617685;0.2518213749570803;0.2549083148414427;0.03571955329826227;0.03503603462427144;0.11415;1.923
1;12644.785190372751;86.58274441794043;38.45700714114445;38.463534910495746;486.3216973585357;109.24484237179752;109.24500944220536;10.579832847742194;0.2531437731158098;0.2537802262836313;0.25665676631960105;0.04684348364522889;0.04531481859796164;0.11415;1.9169999999999998
2;12709.632670775125;84.45305019740022;36.131204671299926;36.074327563137594;8.751323103617171;110.42239620605154;110.46486299137098;67.0895963600853;0.2578465990477198;0.37150106829291024;0.3721573484724456;0.189548399335124;0.18401437666014914;0.111;1.8975
3;12668.6560361292;83.82978152708242;35.71252547079037;35.614958610840546;5.501076971139599;110.46557294507059;110.53239331757071;76.18930787113746;0.26046776407943706;0.4158623728722057;0.40089952197395096;0.2267385412549553;0.21056163820188106;0.111;1.8905
4;12680.716252396209;87.52908974307827;39.25940738572993;39.266203880263454;715.0996816819502;108.7690636092522;108.77082405914578;8.199650369340434;0.2531322421173026;0.2520959690786064;0.2552482718319654;0.03775815068853403;0.03834814160088222;0.11415;1.926
5;13412.426154812882;86.5998759370664;35.454219091228616;35.40982464247382;3.9939730989475097;111.78648607546013;111.99678555497096;27.347042427675902;0.25340857406174616;0.2952847150884836;0.2760102872334585;0.4668229168432404;0.3933112817039711;0.10400000000000001;1.926
6;12607.669695931449;84.56823457304174;36.61910966577944;36.597392095553325;15.759683994603176;110.161113001347;110.185086758544;53.509820031586244;0.2572534871997369;0.3307634427130762;0.3346523127503275;0.17634094547063878;0.1759241229352809;0.1126;1.8975
7;12651.342992321112;83.52675894383569;35.49983969670651;35.38118486950066;4.582657348327276;110.48568033821816;110.56539654033205;78.47806263703133;0.26196900780361115;0.4362157391248434;0.4088626451305863;0.24335123590743354;0.21902955913596547;0.111;1.8869999999999998
8;12469.855399925618;83.96445698651192;36.54350647765758;36.54499742973441;848.0000000002698;108.94359792208357;108.9401690597967;7.613533760946272;0.2523328877781047;0.25671036373941764;0.2541640033683461;0.03573816797657898;0.03503603462424172;0.111;1.8940000000000001
9;12563.598082155384;85.85168213519901;38.06384371851389;38.057341882489155;38.33842361562681;108.0497008276197;108.04875334971952;34.00420043150557;0.2550096395498031;0.2874622465824419;0.28901641272044626;0.13742092998820338;0.1423467630450288;0.111;1.9140000000000001
10;12929.485197391587;82.88473012705644;33.6403336471369;33.62654014371462;20.872718880476803;111.00323170585649;111.03162153926777;41.130026280371744;0.2529340744372282;0.3048838654432094;0.3017325161008441;0.17255671357945598;0.16327442247615429;0.10400000000000001;1.8869999999999998
11;12278.501834968853;84.83719852229825;38.181864340542376;38.18328893457283;70.96017951459308;107.6078340039267;107.59651336644149;23.118883709235128;0.2532101974458552;0.2718013255867045;0.2695684119621167;0.0938041807725121;0.09590698585486457;0.11415;1.901
