;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values C;epsilon values H-C;rmin_half values C;rmin_half values H-C
0;12612.392026567219;95.9275722273876;;47.93814073453413;378.0000000002179;;107.21174836211044;11.376600286239395;0.2167992027177645;;0.22152364853275364;;0.03839594190844251;0.123075;0.017662499999999998;1.9557;1.524175
1;14180.64816397042;85.71810179735056;;31.454908311339302;500.404994203061;;114.51316959973438;9.297202160632562;0.18645949892421804;;0.19013193382854227;;0.057783093761731165;0.08831782;0.01507657;1.93824586;1.47310704
2;12867.614029220857;86.49296921552137;;37.482280273913176;800.0022632592865;;110.86955173036738;7.4733817291252445;0.17934193712846008;;0.18181626268676696;;0.03554351659244393;0.09224321;0.02115454;1.9321985000000002;1.4801193000000001
3;11414.484491349685;82.39905716721137;;39.20143586564169;840.4025973877905;;105.42907099954462;7.582179511741747;0.20252395198080134;;0.20478228017830188;;0.032432642903906815;0.11694768;0.0167502;1.88038878;1.46516401
4;11220.029584961867;81.7152957915633;;39.29561087668147;7.053149434291843;;104.2730201422144;57.91874843676445;0.21811126549107934;;0.3181914948408828;;0.2273471157771401;0.11694768;0.01591269;1.88038878;1.4505123699
5;11598.289709322606;82.3796711594251;;38.4468083926591;228.4543425027484;;105.63296510483877;13.675534890905158;0.2052406103476611;;0.2124053488892602;;0.05243793839007088;0.11694768;0.01591269;1.88038878;1.46516401
6;11051.109388001909;81.70731392586086;;39.96333089855923;8.855934865210674;;104.06411182185728;66.35729727126346;0.2148865958256276;;0.3415097422542882;;0.2365309948691603;0.11694768;0.0167502;1.88038878;1.4505123699
7;11537.059664600674;83.00562216742209;;39.317763822110074;8.064663219467198;;104.79888029045914;60.431285611395744;0.20131167719136436;;0.3145750094794314;;0.2666009381447086;0.111100296;0.0167502;1.8991926678;1.4505123699
8;11851.757109791013;83.71566794125025;;38.76888985627353;59.97474787846616;;106.08560210565632;35.499859787141915;0.1924461580196461;;0.23916388670367836;;0.15597737192620262;0.111100296;0.0167502;1.8991926678;1.46516401
9;11361.135141065515;83.00628717230795;;40.022156266508205;25.905452166019174;;104.50833205639877;21.330242148841837;0.19902456225272885;;0.2165420148257135;;0.1097347446393632;0.111100296;0.01758771;1.8991926678;1.4505123699
10;11660.368144290853;83.7442153518339;;39.563040401484244;52.34795306306553;;105.61755629951496;24.599724112466852;0.19063665120591475;;0.2145336239278196;;0.13649217654764187;0.111100296;0.01758771;1.8991926678;1.46516401
11;11414.48449722171;82.39905716721137;;39.201435842154524;840.4025973813233;;105.42907099023071;7.5821792513411745;0.2025239519808005;;0.2047822800240374;;0.032432642744414694;0.11694768;0.0167502;1.88038878;1.46516401
12;12612.392026617968;95.92757222738764;;47.938140734331185;378.0000000000051;;107.21174836211216;11.376600285951874;0.2167992027177648;;0.2215236485325177;;0.03839594190837664;0.123075;0.017662499999999998;1.9557;1.524175
13;14180.648164039108;85.71810179735058;;31.45490831106457;500.404994203523;;114.5131695997298;9.297202160632562;0.18645949892421854;;0.19013193382854274;;0.057783093761731165;0.08831782;0.01507657;1.93824586;1.47310704
14;12867.614029187513;86.4929692155213;;37.48228027404648;800.0022632592086;;110.86955173036759;7.473381733113039;0.17934193712845986;;0.18181626268938936;;0.03554351679714955;0.09224321;0.02115454;1.9321985000000002;1.4801193000000001
15;11414.484491318259;82.39905716721142;;39.20143586576743;840.4025973883136;;105.429070999548;7.5821795107591035;0.2025239519808004;;0.2047822801777188;;0.032432642902154155;0.11694768;0.0167502;1.88038878;1.46516401
16;11004.773005922883;80.13316872944222;;38.57447387699156;11.387884931317014;;104.63196791212992;36.02165784102696;0.2378267896856302;;0.27806930838366234;;0.31851949176699457;0.11694768;0.01758771;1.8615848922;1.4505123699
17;12491.917332498251;81.275605850317;;33.767460839721245;1.8856247798981949;;113.27406537396446;23.358722884985657;0.21351991406010945;;0.2330683020966123;;0.2773833327331389;0.111100296;0.0167502;1.8615848922;1.4798156501
18;11630.939410862242;81.35267628979635;;37.28923541617985;13.820209441921653;;105.42802146056609;47.83838887127097;0.2246696822674165;;0.2951146380893574;;0.16793417671136351;0.111100296;0.01591269;1.88038878;1.4505123699
19;12197.235140732419;82.01300033703438;;35.684048392131345;10.380332983177396;;108.6770492410976;123.12365298139466;0.2103603284881184;;0.535539372015787;;0.9075329880277206;0.111100296;0.01591269;1.88038878;1.46516401
20;11347.670983200629;80.83198273368487;;37.90151866812783;47.05550540482265;;106.38745301497208;36.16906797895671;0.21979523199002635;;0.2631371658905121;;0.20093865967488045;0.11694768;0.01758771;1.8615848922;1.46516401
21;12186.92589712257;81.62845160893531;;35.34034132312597;2.8519920352453623;;112.59106256495704;773.8862184092039;0.2055706613811309;;3.102363208180217;;3.3422317720735406;0.11694768;0.01758771;1.8615848922;1.4798156501
22;11886.20407642903;85.02292923703371;;39.93794642404266;1.012250110823292;;110.21294331609823;16.256514501564773;0.1828504429066631;;0.19406873681261733;;0.43350608426408815;0.11694768;0.01758771;1.8991926678;1.4798156501
23;11315.359126199844;80.16254255158688;;37.361475166117145;4.216644540937152;;104.90970960754265;90.59588155002096;0.24603135244575675;;0.43801055760461577;;0.4564787493385853;0.11694768;0.01591269;1.8615848922;1.4505123699
24;12612.392026597618;95.9275722273876;;47.938140734412535;378.0000000001288;;107.21174836211115;11.376600286259936;0.21679920271776584;;0.22152364853277184;;0.038395941908491237;0.123075;0.017662499999999998;1.9557;1.524175
25;14180.648164001925;85.71810179735058;;31.454908311213323;500.404994205628;;114.51316959971672;9.29720216223532;0.18645949892421806;;0.19013193382979626;;0.057783093793210775;0.08831782;0.01507657;1.93824586;1.47310704
26;12867.614029154032;86.49296921552126;;37.48228027418036;800.0022632591066;;110.86955173036742;7.473381757039816;0.17934193712846228;;0.18181626270512755;;0.03554351687391416;0.09224321;0.02115454;1.9321985000000002;1.4801193000000001
27;11414.48449130892;82.39905716721142;;39.20143586580479;840.4025973905119;;105.42907099955644;7.582179511741747;0.20252395198080286;;0.20478228017830336;;0.03243264290565948;0.11694768;0.0167502;1.88038878;1.46516401
28;11384.755705865358;83.55398980627905;;40.47527858029567;15.638589593396931;;105.47923289053158;124.45520838540014;0.19003154432889455;;0.5328579950416559;;2.6701803725962403;0.122795064;0.0167502;1.88038878;1.4798156501
29;10642.001823174085;83.85732741044005;;43.74988298500197;1.4177268676624395;;102.9914132844802;11.217767305821619;0.19192592482393808;;0.19710142985964188;;0.13281742663869495;0.122795064;0.01758771;1.8991926678;1.4505123699
