;Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values;rmin_half values
0;36.390835675455335;36.37866242325893;1080.1392521788778;108.94669915726273;108.9457100677188;0.1814321135835364;0.1842804037582572;0.03129928899676638;0.031330184524007834;0.1094;1.908
1;35.078896111565136;35.06706643490165;1255.2444937455193;109.64910537104821;109.64855294790512;0.18253321523716956;0.18485599239338413;0.028610776684039826;0.02877981681790893;0.110623;1.887
2;35.80447035036407;35.792461651883436;1378.5308948132938;109.17810231036738;109.17687124694851;0.1818982798519472;0.1841670083805318;0.02914392562545866;0.027336852798997845;0.111;1.894
3;35.22885106957229;35.21660347623796;1380.2304429166181;109.67486333011908;109.67450064618087;0.1819235353206611;0.1843258092786375;0.028008364877125227;0.0274066626095434;0.1094;1.894
4;36.3944112070045;36.38230475419568;1166.4160814467327;108.80898816667029;108.80763641957388;0.18175781522546292;0.1841880068968764;0.03161770262225388;0.030004331007112844;0.111;1.901
5;36.979973617913934;36.96795039244772;663.491678533409;108.31127131028194;108.30927028590645;0.18322130234865916;0.1857953883480639;0.0420488877361001;0.04199604959283393;0.1126;1.901
6;36.37732109945957;36.36547451056211;930.0938755613214;108.68832535483948;108.68627999885956;0.18254673452939305;0.18469582068319004;0.03772625939715592;0.03591281323008482;0.1126;1.894
7;35.805558202661466;35.79335592104157;1368.8591278989445;109.31962789458441;109.31879037009777;0.18153232396871316;0.18398266057602994;0.02921900682108583;0.027521124759956626;0.1094;1.901
8;36.09877433415512;36.08671260429488;1294.1206434601522;108.99618428441059;108.99485106101078;0.1818122976498068;0.18409994641802624;0.03052368774828625;0.028350925045314945;0.111;1.8975
9;36.678265479546624;36.66630294069167;813.9042175363335;108.50340491211584;108.5014019727987;0.1827282944104133;0.185019040328508;0.039496648441017385;0.03814865102473506;0.1126;1.8975
10;35.51723120633619;35.504972312760955;1403.4122691597724;109.4979033447713;109.4972544515418;0.18169710566057;0.1840982279316669;0.0284077848720142;0.027026139464306268;0.1094;1.8975
11;36.37442620648546;36.37866242251171;1080.1392520724394;108.94628981908156;108.94571006671087;0.18649831035386052;0.1842804037470961;0.03235860614464864;0.03133018453748018;0.1094;1.908
12;35.062892719152;35.067066435565444;1255.2444936485385;109.64869948211016;109.64855294873176;0.186718415505868;0.18485599239771372;0.029171376410175517;0.02877981675822322;0.110623;1.887
13;36.18101985433607;36.18604387236829;674.1817547725832;109.26455320810076;109.26364739386366;0.18796051759596552;0.18572874067359516;0.04889594604230429;0.04985237768028536;0.1076;1.914
14;35.441128508486706;35.44704176529387;267.42226281761384;109.99503260765293;109.99563809538687;0.19418302378344232;0.19250097324881624;0.11970637757573202;0.12493746302922652;0.1058;1.914
15;36.62899943485244;36.63312060922717;811.0265640296201;108.77784670028359;108.77785970108243;0.1870956016481852;0.1849172538792173;0.036831218848889805;0.03613861038922949;0.1094;1.911
16;34.9854608267881;34.99260497225697;381.3000305176935;110.21517291061035;110.21390740984705;0.19100637753641567;0.1892106054955764;0.08356134017001632;0.08627750710910917;0.1058;1.908
17;35.930470747129434;35.93584892178978;839.3397617226735;109.4229212507014;109.42151357663141;0.18733110416849588;0.1851349537047408;0.04529491248779813;0.0458574021205574;0.1076;1.911
18;35.21100397241421;35.21761127085293;316.40766312058946;110.10973191642228;110.10934116834379;0.19233275956317167;0.19060634698067147;0.10301876993393293;0.10700904961712268;0.1058;1.911
19;35.684327125205314;35.68989011497051;937.6621941882698;109.5724327079068;109.57075748106476;0.1869932490287704;0.1848468782538744;0.042045198531897636;0.04223794912508424;0.1076;1.908
20;36.374426220444064;36.37866243682998;1080.1392522234687;108.9462898098123;108.94571005707165;0.1864983103308865;0.18428040367499765;0.03235860574356759;0.03133018436728837;0.1094;1.908
21;36.88045713276589;36.88451321935495;514.1510870129235;108.61026794400135;108.6108695118995;0.18832272009131806;0.1862712566919987;0.04485484510492839;0.044320167865651496;0.1094;1.914
22;36.37874831514908;36.37866241943129;1080.1392516153999;108.94292688830446;108.94571007198263;0.18526413466861735;0.18428040375356314;0.032976413186032685;0.031330184616117036;0.1094;1.908
23;35.06759472653815;35.067066438048364;1255.2444932337205;109.64758824149416;109.64855294440837;0.1857603661458466;0.18485599240682185;0.029791582561588387;0.028779816830582894;0.110623;1.887
24;36.633586895910135;36.63312062479764;811.0265618714723;108.77465292671008;108.77785971214355;0.18576289640021945;0.1849172537415124;0.03636490997837313;0.036138610256120966;0.1094;1.911
25;37.548813399611895;37.54772978907013;262.1194272624082;107.9192988166744;107.9203052524253;0.1911531773928593;0.19016594733225856;0.061867453306392525;0.06284805026202812;0.1126;1.908
26;36.88525540111395;36.884513239592465;514.1510764901311;108.60759043696501;108.61086950959034;0.1870465993310398;0.1862712569871096;0.04312350462316495;0.0443201695908603;0.1094;1.914
27;36.378748321880714;36.37866242603212;1080.139248352278;108.94292688405253;108.94571006776344;0.18526413468430747;0.1842804037711488;0.032976412785917626;0.031330184284705936;0.1094;1.908
28;37.77013028262472;37.76868396481794;146.9987105617705;107.77352337556904;107.77229402509344;0.19586450930845006;0.19456901705747;0.07561291501665783;0.07693214091113962;0.1126;1.911
29;37.967954406303676;37.9654819232776;83.08559693385334;107.65499917031809;107.65033914276884;0.20335313808073371;0.2018075235200552;0.09115346581151652;0.09239738518534812;0.1126;1.914
30;36.977553322483956;36.97692480084167;672.2869990512398;108.41230923113741;108.41511614303191;0.1863633605026515;0.18552848690979426;0.04072302911859848;0.040757011326079486;0.111;1.908
31;37.458665572481436;37.45782103555905;230.5499218304889;108.09314088600107;108.09429443865903;0.19131831292298776;0.1902278870246933;0.06294565578822503;0.06463713837487772;0.111;1.914
32;37.225402952758905;37.22461519602741;414.3697188430734;108.24543515739376;108.24784885896672;0.18804279947406696;0.18718929986064034;0.04991182859218563;0.05097321356327689;0.111;1.911
33;36.379755659697615;36.37866242450474;1080.139251108478;108.94450529509676;108.94571006853813;0.1765501704634194;0.18428040374653204;0.032799101094585364;0.031330184379990536;0.1094;1.908
34;35.06616377628479;35.067066433762946;1255.2444927728861;109.64970431978344;109.64855294723318;0.1769523873091867;0.1848559924010855;0.028510840785408286;0.02877981691217515;0.110623;1.887
35;33.63118237305981;33.627657416749656;37.25789216847361;111.4299785711941;111.45867757572893;0.20412327980518255;0.21027460749523785;0.2116590805251668;0.2144637685595029;0.1022;1.908
36;34.00285672944903;33.972497932888324;11.660460622614618;111.37246914364313;111.48395810619404;0.22449519685849545;0.23090811214530266;0.3647226176665135;0.375453907469427;0.1022;1.914
37;34.50165466631951;34.4964904729655;68.515719327353;110.77900503567943;110.80646522008743;0.1979237013159402;0.20643496128507893;0.20493662976507476;0.2149355930058437;0.104;1.911
38;35.218131521075186;35.21761127129295;316.40766356128415;110.10222004355205;110.10934117350632;0.18287522964530287;0.1906063468741038;0.10591296882193127;0.10700904893397677;0.1058;1.911
39;34.702315814628484;34.689905134223565;46.04749771662604;110.73146550197558;110.77568804973407;0.2063893653499479;0.21632716006134525;0.2610576796767958;0.2762799055872049;0.104;1.914
40;33.821254634628744;33.80809205347979;20.40244260983369;111.38197744159409;111.44404702151213;0.211303683589216;0.21776493615615594;0.2756668192192495;0.28775197093332583;0.1022;1.911
41;34.991451196805954;34.99260496506239;381.30003636620864;110.20977652694036;110.21390740266649;0.18162569085740515;0.18921060549241087;0.08561010060584079;0.08627750650952677;0.1058;1.908
42;35.44950937688593;35.44704175258414;267.4222538038869;109.98586403738224;109.99563810907641;0.1845946095241548;0.19250097285767265;0.1232164103800486;0.12493746025976632;0.1058;1.914
43;34.298739064580744;34.298657538577515;108.77853483146092;110.8359583256066;110.8494713635982;0.1927379734409836;0.2003614451330262;0.15129985909499574;0.1558909960020697;0.104;1.908
44;36.36409041569423;36.37866242447007;1080.1392531841227;108.94664976488045;108.94571007014127;0.1810829158610483;0.1842804037339041;0.03337277552758204;0.03133018446668849;0.1094;1.908
45;35.052243710179646;35.0670664337329;1255.244494658611;109.64937660683769;109.64855294591835;0.18099295863471776;0.18485599239918185;0.03016403638775885;0.028779816833440507;0.110623;1.887
46;36.90206952723815;36.91694213126379;472.33691476829165;108.22844333591118;108.22863486092207;0.1827934410525183;0.1866105344147294;0.051486276472064926;0.05171891211030614;0.11415;1.894
47;36.82167766026925;36.838014235716855;280.092694676868;108.14043512142766;108.13967329617724;0.18426849468469125;0.18817587938915434;0.06771670273620488;0.06804076656935129;0.1157;1.887
48;35.752044568259976;35.76727394792493;1055.1801195995083;109.03856152729277;109.03851111850071;0.18108102390939654;0.18484987976535625;0.0348944424930844;0.033472819603781116;0.1126;1.887
49;36.05125591022696;36.06626877875967;1023.5083644792034;108.86448840788587;108.86484604952815;0.18097264534829616;0.18464659177163031;0.035813116642502904;0.034127184917873636;0.1126;1.8905
50;36.35069676105592;36.365474515058175;930.0938862752344;108.68580106453564;108.68628000384136;0.1810571889841;0.1846958206999116;0.03743213904565335;0.035912813071626484;0.1126;1.894
51;37.1331613203516;37.14887510162711;245.19985784300525;107.97743720051756;107.97662046749944;0.1852295683702035;0.18920083491880765;0.06875889505444213;0.07002410549035602;0.1157;1.8905
52;36.29245965992772;36.308220496048854;602.7651035077571;108.5740889413595;108.57417946584609;0.1819633538346358;0.18574009679314196;0.048141396227216436;0.04715159712501138;0.11415;1.887
53;37.449028284113375;37.464464412218256;212.6602188368244;107.8069742827802;107.80539917028842;0.18744317103357516;0.1913573717947894;0.06783278598472646;0.06929070237594108;0.1157;1.894
54;36.59520884957188;36.61049399592338;544.3940720316426;108.40479883619592;108.40518398777031;0.18211132783132053;0.1859026591147624;0.0498715811729206;0.04948599393600838;0.11415;1.8905
55;36.37392528070508;36.378662427366436;1080.1392520520424;108.94541090143636;108.945710067026;0.1841973650952746;0.1842804037384328;0.032620649658963614;0.03133018443530239;0.1094;1.908
56;35.06036906991421;35.067066431476626;1255.2444936301326;109.64927868637943;109.6485529484733;0.18370392725906776;0.18485599240290754;0.030751999730289838;0.028779816863288038;0.110623;1.887
57;32.71568305990817;32.71004897679555;10.580396014318275;112.03723105945568;112.1384071204504;0.20095446754603435;0.19900466505095812;0.3608209693667251;0.3682872423377405;0.1022;1.894
58;33.799185816909706;33.80112261349979;133.13344873023436;111.08404473983076;111.09731558500305;0.1960303414894464;0.19745278357175675;0.14035639278299844;0.1453520158046876;0.104;1.901
59;33.540123214035546;33.54135315053907;77.28803263791444;111.27209187693394;111.29332623449915;0.1966259056708108;0.1981876181753612;0.1903283373238697;0.20100990703150612;0.104;1.8975
60;32.93442734024458;32.92805818075857;14.681484380039786;111.89003396460552;111.97174964113005;0.20264791589648076;0.20183433066463385;0.3360014544489571;0.3527732251107564;0.1022;1.8975
61;33.285875646852155;33.286214731021865;45.478459180440424;111.46171962352733;111.49441569798628;0.1974239590618362;0.198825020158123;0.2338729659834921;0.248899950487364;0.104;1.894
62;34.46041289332278;34.46495202837189;470.10382793741167;110.47937635250126;110.4831783786865;0.18763908174161376;0.18862251039026398;0.06251216108439196;0.06287229435791775;0.1058;1.901
63;33.915493673886644;33.920373283271964;252.41036204359813;110.83489534608968;110.84139312929656;0.18912612471956894;0.19062194715926445;0.1080668912041239;0.11032720345644256;0.1058;1.894
64;34.18936466433381;34.194127467526606;384.9710236040612;110.64839158320291;110.65279699840195;0.18801885334180246;0.18930244369316984;0.07926528923085269;0.07993161084757322;0.1058;1.8975
65;33.16422720677501;33.159025951579515;24.58598019184516;111.71264815434715;111.76767552611496;0.20437815908642806;0.20468493294147053;0.2832779961926259;0.3020283275596479;0.1022;1.901
