;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values C;epsilon values H-C;rmin_half values C;rmin_half values H-C
0;12612.401229177796;98.38197327077124;;50.392504961235616;378.0155411352568;;107.21181014269732;11.376617207377286;0.2427675785309629;;0.24699582163705475;;0.03840441605623995;0.123075;0.017662499999999998;1.9557;1.524175
1;17200.3210923187;132.73374554169953;;66.39172371903294;1187.9999999997767;;115.8658751663851;6.0399754505686305;0.32122440033735183;;0.3221316752977234;;0.01695090274112659;0.17255399;0.02217845;1.91305452;1.6864328000000002
2;14361.311780729173;100.2778486228109;;45.29218131491252;686.0155408487918;;112.7246037790627;8.261909126225614;0.2310187084026288;;0.2333704992538567;;0.033452079227227816;0.09409744;0.021872299999999997;1.99011588;1.5244069
3;13939.833612344744;101.53753048514618;;48.23820691350029;1.008953426746937;;108.45665610812068;1.3377134038676786;0.2349012822396547;;0.2349622183088659;;0.006063453560164536;0.09409744;0.020778685;2.0100170388;1.509162831
4;13996.28522414204;98.12830871969429;;44.602783755324346;1.4319703999169533;;112.36700793840299;9.593663414640524;0.2379781161849452;;0.2410522720007192;;0.03186651254700853;0.089392568;0.022965915;1.99011588;1.509162831
5;14525.433861489391;99.73934200847586;;44.09707822100974;59.01593111385618;;113.79546048077394;24.20274723174049;0.23100910225145996;;0.25047469558313146;;0.14931157898313344;0.089392568;0.022965915;1.99011588;1.5244069
6;15382.226209046587;105.72190481256254;;46.65254115792533;3.375348966984439;;113.10711337475956;65.37347114532217;0.24021291420823346;;0.3550792810871075;;0.055580321228115966;0.09409744;0.022965915;2.0100170388;1.539650969
7;14473.380617455545;99.57582554563452;;44.14177154473936;25.77373648980877;;113.82704032642384;37.87849907510172;0.2313990032895051;;0.2765899318221537;;0.23989989520288024;0.098802312;0.020778685;1.9702147212;1.539650969
8;15465.255433898195;104.74144876333051;;45.3399600995034;2.3466197676496625;;113.18740826053465;60.77079767559166;0.23646783508350766;;0.3391260453802455;;0.0486260805409545;0.089392568;0.022965915;2.0100170388;1.539650969
9;14201.139727379612;100.54787058893784;;46.2029246714225;157.0705451620052;;112.39611878106605;20.847911273943232;0.2304248848605832;;0.24505059497040824;;0.07704896832807008;0.09409744;0.022965915;1.99011588;1.5244069
10;13366.307455582893;96.68030784017441;;45.67469928137274;1.139134158593622;;112.31422247606514;8.65722379775845;0.25176959469556953;;0.2541399010090548;;0.09370397630439084;0.098802312;0.0218723;1.9702147212;1.509162831
11;12612.401229177607;98.38197327077124;;50.392504961236384;378.015541135345;;107.21181014269602;11.376617207213561;0.24276757853096465;;0.2469958216369358;;0.03840441605438979;0.123075;0.017662499999999998;1.9557;1.524175
12;17200.32109232833;132.73374554169953;;66.39172371899441;1187.9999999997767;;115.8658751663851;6.039975450477128;0.32122440033735083;;0.32213167529769504;;0.016950902741652684;0.17255399;0.02217845;1.91305452;1.6864328000000002
