;Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values;rmin_half values
0;36.61405670238461;36.616861753243406;1023.7919133279048;61.63343843861374;90.07071059552985;0.17207044672237104;0.17463310918907335;0.9231147103601668;1.1813893776602906;0.1094;1.908
1;35.29475837032866;35.301190404075065;837.6409340953198;62.06035884036854;24.617385811844283;0.1731738015159403;0.1752905002145472;1.2172224912983969;1.478214799457031;0.110623;1.887
2;36.01369153939815;36.018600087617095;1056.994700527526;61.77137847980653;50.907904769351866;0.17229712162852712;0.17443517905299133;0.8705308478849534;1.9173501724077344;0.111;1.894
3;36.02216357118021;36.026118902318956;1155.8287689258946;61.827002100643284;68.09018107952052;0.17210101367339514;0.17432295458838665;0.7474402127540624;1.775435422987516;0.1094;1.901
4;35.73000572071315;35.73458516011894;1099.3355235104377;61.9341167895882;54.79497568733171;0.17231165170467716;0.17443051239606688;0.8286320068569036;1.908115743466498;0.1094;1.8975
5;36.577324805807784;36.58180369626629;780.7304233546745;61.51659718576079;60.95044457807762;0.1728590802848095;0.17504293842197624;1.291684292062483;2.132712539599386;0.1126;1.894
6;36.31105063407581;36.315228723974535;1077.6955180369368;61.66013491068409;64.43585681256643;0.17218935356642529;0.17439904720045524;0.8518942162244122;1.8602412015881875;0.111;1.8975
7;36.61134743608975;36.614822538203725;1045.2365252300442;61.55469710257801;77.07701026210434;0.1721388764547733;0.17449156920107942;0.9093561184416548;1.636802382724606;0.111;1.901
8;35.439233666822254;35.444478655758765;1001.2892227764194;62.04512407390879;41.53524743220971;0.17261025854196735;0.1746824185134857;0.9773877898908516;1.865623392867704;0.1094;1.894
9;36.88437027308567;36.88800882816161;744.0112759153533;61.40617496788023;74.06516807216698;0.17303436812080622;0.17534929870063365;1.3822880390746328;1.9416333464097384;0.1126;1.8975
10;37.192237569004476;37.19509812984383;640.1743796690378;61.300785352494174;85.31382328246953;0.17363232770219214;0.17613245888848605;1.6072895101936788;1.6261039017787884;0.1126;1.901
11;36.62383089833799;36.6168617544577;1023.7919131472713;61.6632814166276;90.07071060980982;0.17836671057418582;0.17463310918934605;0.9665455430297524;1.1813893772048027;0.1094;1.908
12;35.302085071458336;35.30119040244369;837.6409338893236;62.02034609637384;24.617385793215252;0.17932927171391475;0.1752905002153938;1.273180964829093;1.4782147990639165;0.110623;1.887
13;35.93115840980464;35.924238701338204;860.0828703297285;61.973401593683526;82.64337672491395;0.17906174648047435;0.1753323520026307;1.1917459302578814;1.5967844469542032;0.1076;1.908
14;35.688108447408744;35.67799421083452;253.6611334977327;62.188175909826754;92.53501145428362;0.18677033454067474;0.18392488204856772;3.079802425190316;1.7314974898620992;0.1058;1.914
15;35.45218081174106;35.44293415702824;294.696360514484;62.254550706461714;84.74186797991959;0.18503104501256087;0.1818612691661553;2.8010561587636924;2.202617965690004;0.1058;1.911
16;37.13087745361375;37.123252707616075;510.130438160156;61.507754129583404;100.82850894304156;0.1805936685096915;0.17680287221310226;1.9754919544871523;0.8001643723836093;0.1094;1.914
17;36.87930551896831;36.871850675324026;791.1394588519217;61.58933520461425;96.41946099182908;0.17902874144489722;0.17533104646099162;1.346976609512555;0.9410171757521272;0.1094;1.911
18;35.22007572218292;35.21190356568064;339.49995430500604;62.31581550746075;74.99780827754596;0.18402906324104004;0.1805430128308616;2.5676948874128547;2.6686901403776906;0.1058;1.908
19;36.18015771346655;36.17278465771894;795.5755061365128;61.90371649759842;90.76611798036171;0.1792539133790955;0.17562312879564407;1.3169073864652567;1.2818322764147534;0.1076;1.911
