;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values C;epsilon values H-C;rmin_half values C;rmin_half values H-C
106;16698.3216885279;73.74996411536749;;9.416238011940207;545.1980013645486;;112.91434966002268;10.307420761996578;0.182339230177462;;0.1869424554766362;;0.05746605252257805;0.10187152;0.023231395;2.0020633393;1.55486877
107;16698.32168385316;73.74996411536749;;9.416238030643283;545.1980077052606;;112.91434961936797;10.307421032566644;0.18233923017746195;;0.18694245571533036;;0.057466052209724124;0.096777944;0.023231395;1.98224093;1.55486877
108;16787.933896151488;73.71972760778841;;9.027508025644703;559.7610569403198;;113.35641126487593;10.821699383284331;0.1822734650155872;;0.18734290197566567;;0.055304432681740665;0.10187152;0.023231395;1.98224093;1.5393200823
109;16413.023428352317;73.72244826174108;;10.530153113803074;611.9940188401063;;110.55875771023237;8.787220604476511;0.1824625864560074;;0.1858172206020823;;0.08902039862594506;0.106965096;0.025676805;1.9624185207;1.5704174577
110;16607.25405889409;73.71632222719583;;9.746933098105412;634.3224805271846;;112.25637142638429;9.321366336741962;0.18235792544988694;;0.1861306502340534;;0.07410879964147615;0.106965096;0.0244541;1.98224093;1.55486877
111;16517.372073536062;73.75421218355764;;10.144416360553915;597.6525868028808;;111.60919662846064;8.697368359038018;0.18243935549161527;;0.18572675081196452;;0.08459923146262242;0.096777944;0.0244541;2.0020633393;1.5704174577
112;17991.389327784098;74.16606554299014;;4.659305319037369;575.1466759976773;;120.47438432042551;8.855841917026943;0.1821750554749903;;0.18558708432251425;;0.07212534420565751;0.08086972;0.00898037;1.99756248;1.47905755
113;16418.61246841872;73.35522878504312;;10.140591225497456;659.989744410875;;110.4226323840822;10.690229488684409;0.18223100725316316;;0.1871807580615983;;0.08838007903529152;0.07694185;0.03379486;2.01066033;1.47615911
114;17555.47067323877;74.12144010492042;;6.358682475915518;1106.5332628196854;;117.22708960213323;7.300261915913598;0.1822531567436899;;0.1845776648810888;;0.06660982378126724;0.09562164;0.01129368;2.00188318;1.54857329
115;17377.064132416468;74.06459419889575;;7.015625468662077;1002.9028122424023;;115.61584720592157;8.213573725499208;0.18226071050060094;;0.18519819471489649;;0.06259231222543751;0.10372817;0.01304325;2.00645052;1.5538841
116;16607.254059270992;73.71632222719583;;9.746933096601804;634.3224978268504;;112.25637138671837;9.321366663901573;0.18235792544988716;;0.18613065049619848;;0.07410880121011533;0.10187152;0.0244541;1.98224093;1.55486877
117;16413.023414675004;73.72244826174105;;10.530153168524123;611.9940184233262;;110.55875759307956;8.787220129144057;0.18246258645600744;;0.18581722024242991;;0.08902039671625057;0.106965096;0.025676805;1.98224093;1.5704174577
118;16613.622793070666;73.7866294588062;;9.79174550115841;495.6891944353926;;112.45332044674109;9.655455608701974;0.1824177378573498;;0.186461460614111;;0.06352783853147638;0.096777944;0.023231395;2.0020633393;1.5704174577
119;16787.933897781615;73.71972760778841;;9.027508019128273;559.7610649705388;;113.35641122451568;10.821699538380553;0.1822734650155872;;0.18734290211900967;;0.05530443646298178;0.106965096;0.023231395;1.98224093;1.5393200823
120;17991.38932864316;74.16606554299017;;4.659305315601132;575.146675956699;;120.47438432080776;8.855841881402583;0.18217505547498997;;0.1855870842953152;;0.07212534411507605;0.08086972;0.00898037;1.99756248;1.47905755
121;16418.61246786094;73.35522878504312;;10.140591227730154;659.9897425804246;;110.42263236832234;10.690229617242597;0.18223100725316332;;0.18718075817907354;;0.08838007897849645;0.07694185;0.03379486;2.01066033;1.47615911
