;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values;rmin_half values
142;12440.754456353574;85.87717396562502;38.69234730000247;38.57424586448517;73.75172283632823;107.65672460910179;107.67599728281107;20.356554359478856;0.14428637798145286;0.19096033641442975;0.1656767572510103;0.12945980471707805;0.11544606998280245;0.1126;1.914
143;12255.427110991057;85.8278571582093;39.400331438866495;39.26629979874632;21.012967574109553;107.04446265593657;107.06847028467251;29.66215273019459;0.14434176164710133;0.226923143345607;0.1868476316197032;0.23510212766699895;0.2012297819535836;0.1157;1.911
144;12666.998517603855;85.05038292831243;36.86402242760412;36.84234847833469;799.3614269573618;109.02425959963553;108.96415408212792;7.944466676204832;0.14318779686671912;0.14716193571753491;0.146671667329728;0.05656061684113847;0.03628185059496141;0.1094;1.908
145;13600.100916661673;85.1694049217941;33.26340781723986;33.22858014139109;1233.1956534713195;112.76193798439483;112.73379956742859;6.1354787254811;0.14298573042511786;0.14021186598175087;0.14507661666736105;0.027869486764380717;0.03341586553266149;0.0972166482044;1.92015303945
146;11585.29135640597;78.5017946999294;34.66669810998209;34.62060694269455;1114.001382246921;108.78905837449209;108.78546149472031;6.550620621296769;0.14758750467191847;0.15836095408312925;0.14989543567236271;0.03829812375726244;0.03392058401647944;0.129280592666;1.80945011123
147;12672.756047198876;85.6184120070312;37.40793785874567;37.387377484469404;432.1349477390465;108.70995727262071;108.66667095328432;10.81545800474434;0.14381993084698275;0.15004738534350442;0.15018574713634653;0.06854908425647079;0.048940846261235786;0.1094;1.914
148;12669.698351676443;85.33216984523658;37.1344153439943;37.11335087087463;672.2403023414812;108.86934260179716;108.81750154626395;8.674571126799519;0.1434820693176324;0.1475184177550096;0.14761800425192936;0.059695044501456275;0.03949278093141182;0.1094;1.911
149;12543.02212061816;85.17365605018014;37.49757895703215;37.46158013630158;546.2450448654116;108.47319041290335;108.43991491009814;9.336484492410461;0.1433585645530655;0.1493862943377175;0.14814316432140234;0.06375129088674597;0.046026550562924005;0.111;1.908
150;12550.065955299338;85.7479713730048;38.04113581896213;38.00775018887987;191.33111390905339;108.16850060753241;108.14220720362366;15.064085986207413;0.1440459932323597;0.15919008044565716;0.15614120279458432;0.0837063738943329;0.07556270627260782;0.111;1.914
151;12423.708389438743;85.29659411511211;38.106621585574544;38.06182358244247;228.71080440643985;107.9650161898965;107.94034568978329;12.61518153654834;0.14354311760897656;0.15674036975193748;0.15215423607260153;0.07976591362596286;0.07587760860336844;0.1126;1.908
152;12666.998516259882;85.05038292831243;36.864022434234705;36.84234848371162;799.3614245639185;109.0242595861881;108.96415407200584;7.944466672922418;0.14318779686671915;0.14716193613117073;0.1466716673268834;0.05656061617394936;0.03628185040068841;0.1094;1.908
153;12545.082315811429;85.4585621032343;37.77329963424665;37.73826073725975;351.7134094916301;108.31792646971678;108.288145830096;11.356664647765903;0.14367998787557654;0.15265129502300698;0.1506901465306205;0.07182710128071146;0.058361274068628524;0.111;1.911
154;12429.37860096644;85.58460861760284;38.37097956237145;38.32717164828824;129.52786037575495;107.823885326155;107.79767771136036;15.743599041065126;0.14389195258552698;0.16275627472418455;0.15706899339308256;0.08023747228624764;0.09619128143851144;0.1126;1.911
155;12440.754449737784;85.87717396562506;38.61509520502122;38.57424589095657;73.75171188602027;107.70357383307925;107.67599720159271;20.356559422686246;0.14428637798145294;0.1716824533806144;0.16567676720479932;0.08242784196088418;0.11544607826760013;0.1126;1.914
156;12666.99851719793;85.05038292831239;36.718740384958146;36.84234847995849;799.3614264181699;109.00444402611824;108.96415408098858;7.944466655572513;0.14318779686671892;0.1662517080774083;0.14667166731184705;0.05567987379510152;0.03628185052602583;0.1094;1.908
157;13600.100916930734;85.16940492179404;33.10674251186347;33.22858014031473;1233.1956529573254;112.7633115078575;112.73379956814995;6.135478729124133;0.14298573042511767;0.1644661492128114;0.14507661666982594;0.03242529032777336;0.03341586547822658;0.0972166482044;1.92015303945
158;11585.291356368272;78.5017946999294;34.507397794424875;34.620606942845356;1114.0013822469664;108.80518931153124;108.7854614947201;6.550620621296769;0.14758750467191842;0.15553019688836864;0.14989543567236266;0.034447757669235614;0.033920583962854495;0.129280592666;1.80945011123
159;12650.396525037688;83.79277394018237;35.399160231470795;35.65108610711985;149.8231484219315;109.65737557387855;109.57161298774042;17.133243852813383;0.14235394746129462;0.3352849429596471;0.15799181979257468;0.21998095175478447;0.06629736819796399;0.1094;1.894
160;12789.197257740256;83.66941974987495;34.746966567851075;34.972462004428365;135.22605799711945;110.27134615596644;110.23479688672771;17.832675372353293;0.14230644158965228;0.29256468175305084;0.15918288974713932;0.3759513559899995;0.09669016414198522;0.1076;1.894
161;12930.765025850671;83.84371599553347;34.37732431057847;34.580435662345636;189.4832591876085;110.67671477150051;110.74484935792351;17.04748619550344;0.14234480458694107;0.25308327875309483;0.15783507862710405;0.4630227542201572;0.09017817908657866;0.1058;1.8975
162;12946.898014525234;83.54568907743311;34.08766588263152;34.21784984039198;95.17988157147364;110.8722500422072;111.01167267523672;26.27242304289421;0.1422757530604695;0.2395812474785761;0.1768791492681788;0.5289505336018687;0.11554680438451274;0.1058;1.894
163;12657.7611162479;84.40991612215876;36.034247663261034;36.23879968086422;479.0068301282936;109.32699856524536;109.27699309840244;9.674750247338938;0.14266345130819166;0.21893954930843068;0.1478190550525419;0.12138743123230465;0.044153847923221294;0.1094;1.901
164;12786.057045744235;83.97128849734965;35.030918245472805;35.286911555915474;221.7479792821674;110.08634543571439;110.03721244782706;13.017437117800915;0.1424052242443229;0.2898746154064595;0.15162620699850554;0.3128755780582612;0.07058464750608323;0.1076;1.8975
165;12652.82301417384;84.09846971717205;35.69081778824865;35.94709094566429;276.62261618679884;109.48038421538976;109.42291893460614;12.466188990590837;0.14248275718280445;0.308801532244173;0.1509563844637286;0.17825675381868472;0.053098283649621394;0.1094;1.8975
