;C_p_res_bootstrap (J/mol/K);C_p_res_expect (J/mol/K);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dC_p_res_bootstrap (J/mol/K);dC_p_res_expect (J/mol/K);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values;rmin_half values
0;57.91762182096594;57.980877320876466;1083.000000000033;108.81315135930504;108.8121340337618;2.5503745839803122;220.79502812755797;0.030332952343340738;0.02959723685559645;0.1094;1.908
1;62.50138139126683;64.28816704942409;32.20014802343528;110.41654373507664;110.4312561040292;12.734936679714071;1396.370916897062;0.11541982466115475;0.11439471630406145;0.104;1.901
2;62.4665945014094;64.36476290473271;18.9767971312782;110.46655472809687;110.48910316584387;14.805968461411235;1639.233387363075;0.13292260947277473;0.1290985852991362;0.104;1.8975
3;63.10141028447862;64.73185474777733;44.368152456514224;110.15463855177944;110.16599013238138;12.154271864308019;1294.5618094325016;0.1186860151605566;0.12121231952965135;0.1058;1.8975
4;61.85010755183275;62.94507328479164;84.8337156221408;110.07823304427997;110.08399457158674;9.899792477665967;988.6150528382108;0.09420502455160637;0.09537257598673914;0.1058;1.901
5;58.65124629532691;60.28147730492721;15.043726733075195;110.66320864759628;110.686013279789;14.881790362279954;1675.0372073690112;0.12345611136871346;0.1151578163872844;0.1022;1.901
6;63.72617148779564;65.81680440122511;25.80095049060597;110.20759535926823;110.2255858059256;14.403444188794449;1574.3000568851398;0.14575720602488595;0.1488372834099952;0.1058;1.894
7;57.16331027692289;58.16982292208429;9.997698000328516;110.69155225741056;110.72065480098192;16.817767726420907;1813.3964439230097;0.1332435469004776;0.11792901771429595;0.1022;1.8975
8;55.339987224889384;55.47112138702153;7.263581878541718;110.708850841351;110.74340423214441;18.672750928550485;1902.7667509473763;0.14139091351873745;0.11707280589478905;0.1022;1.894
9;61.7355156793819;63.40731098485092;12.459390661008165;110.49979386473578;110.53050810303509;16.901605290052686;1820.2879185818226;0.14971251419052678;0.14064985230408125;0.104;1.894
10;57.90757323426393;57.98087732644468;1083.000000000033;108.81208102782885;108.8121340337618;2.4441426237267625;220.79502813793044;0.030029459450489418;0.029597236855593262;0.1094;1.908
11;38.67297110478609;37.21919661354881;2.2370935465560096;106.7864178429268;106.67474917192357;15.063123293462064;1932.9053335501399;0.23591627210533755;0.1028161847449107;0.1157;1.92
12;60.50415117437942;67.9876322269981;4.188205858773902;107.19717343558443;107.05837336594476;10.730449854233774;2820.85343287675;0.31572217359110605;0.2592368271101529;0.1126;1.923
13;53.468178671647756;58.06827472845501;3.4821023743922583;106.99425698515465;106.87263066279381;11.750044042931052;2531.6007579926168;0.2686398066657105;0.18810503140444895;0.11415;1.92
14;44.3229074208852;44.526415295748976;2.3090866967942683;106.92181617929377;106.76751211950213;14.316942752979784;2204.0419949375646;0.2956212295440481;0.15869646097624135;0.11415;1.923
15;68.44624391541363;77.20068630715049;7.9667473209693185;107.32087840966769;107.23241573089672;10.847557465506608;2695.214229754144;0.2624364271378724;0.24929250928294525;0.1126;1.92
16;26.982728434893346;18.488385545658428;1.4284398281976671;106.7318501047377;106.59618766944472;19.0717953383564;1150.5040371292275;0.2593847581589491;0.0555427296937202;0.1157;1.926
