;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values;rmin_half values
0;11873.045339485632;77.34374441977086;32.43749030517688;32.311358311396276;2249.6854670124967;110.5923707362222;110.59158843616163;4.672095687994765;0.1712557754541802;0.0;0.1722724478326165;0.0;0.0241399906141574;0.12689920064;1.79748919739
1;11858.129542542656;77.32875334323595;32.48180741865533;32.3560362621524;2250.849777630838;110.53571073857631;110.5337714150238;4.661689660682639;0.17125470145583313;0.0;0.17226686966587573;0.0;0.023994400696184224;0.12717137523;1.79711005539
2;11708.032215630486;76.49647571217287;32.28736836012598;32.12416285641124;663.9493104559506;110.34587749951368;110.38607168000792;10.97148873532125;0.1714042105968608;0.0;0.17693326558286132;0.0;0.042440303061311364;0.132;1.78
3;11790.130505273533;76.7231449069231;32.167025763163124;32.02241707168881;1152.5682133594769;110.58290904100583;110.60212019959404;7.357250764198763;0.17132705123423145;0.0;0.173836200825062;0.0;0.03394968115105616;0.13;1.785
4;11735.932816475977;76.99492045710133;32.63955741941908;32.51102433418506;1682.868658019479;110.20273392200345;110.19660408278752;5.487929661937244;0.17125806107034586;0.0;0.17265920607125546;0.0;0.0279902556769916;0.13;1.79
5;11852.419399077837;76.45986289156296;31.658662705602808;31.50993553352533;470.7338729455082;111.01062834475401;111.03724481475174;12.17343665446183;0.17145604026216255;0.0;0.17823651346381333;0.0;0.053933302523397314;0.13;1.78
6;11668.720947059275;77.01641042417408;32.92446058021376;32.80139256602177;1354.6892809986498;109.91430017701549;109.89178133863695;6.027835757133158;0.1712511295149335;0.0;0.17294018108526454;0.0;0.03287367623917964;0.131;1.79
7;11602.528653147005;77.03788345465202;33.20511959482481;33.08766459494021;939.680893018545;109.64206064186286;109.59650617615655;7.140895857934537;0.17124601171052076;0.0;0.1736118511039979;0.0;0.042626101678489306;0.132;1.79
8;11720.268597521164;76.74302139716569;32.46426940507572;32.32177335443167;1176.359867908811;110.27176293207486;110.2836895975206;7.119223474282111;0.1713098842237999;0.0;0.17366061709485414;0.0;0.032786344975195635;0.131;1.785
9;11779.66164043411;76.47817509730464;31.980247866904772;31.819312345551186;595.6053179913189;110.66395907718508;110.70485165363485;11.429707028897752;0.17142925783360555;0.0;0.1774209731310061;0.0;0.04549010211862199;0.131;1.78
