;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values;rmin_half values
153;15358.777612118074;85.72139765368269;27.094775677863048;26.743750888561202;1.3142978201023516;133.67645665536222;133.67640246719583;35.43438778202808;0.33373344466264304;0.0;0.36258453574942856;0.0;0.08769001018368061;0.1094;1.908
154;15467.869271776408;86.29319475614071;27.23420006870192;26.879180427183318;1.2693451469278787;133.68558845801655;133.68556288857778;31.462762918989352;0.3406644679575545;0.0;0.3631676844091118;0.0;0.07816646097270598;0.1094;1.914
155;15411.767748268338;86.55445421052661;27.722100894257228;27.36484642684125;1.2895208960630316;133.68121642072722;133.6810951685774;33.314369896992346;0.3451492318849293;0.0;0.3699804700343736;0.0;0.08281469343703901;0.1126;1.914
156;15383.789944260046;86.13265603921889;27.409018922619786;27.054959718349696;1.3022686509806052;133.67873859419635;133.67865177231664;34.41982190909379;0.33927208886219784;0.0;0.3661436010629289;0.0;0.0853729542217731;0.111;1.911
157;15329.215499430771;85.84585742773062;27.338465914677638;26.98645938177878;1.3264300124856805;133.67387739759286;133.67374483908523;36.476024239456336;0.33578507361139354;0.0;0.3661142188613979;0.0;0.09031314015588396;0.111;1.908
158;15299.723465320154;85.96998334706464;27.581511062025033;27.22855372816272;1.3390779008570963;133.67115942586878;133.67086753768157;37.53609972474406;0.3378598611145194;0.0;0.369719659149132;0.0;0.09303408303228676;0.1126;1.908
159;15412.624404093463;86.00504654119894;27.165022128109808;26.81201213807704;1.291281258376274;133.68109348334414;133.68105691130293;33.43908354035801;0.3371332792592732;0.0;0.3626976771121455;0.0;0.0829147593729795;0.1094;1.911
160;14190.658917791785;73.55099393643755;19.67258935347858;19.24532271505281;1178.0000000008015;138.49603599079865;138.61930908517542;6.596688183828862;0.25595065563692404;0.0;0.2573072073102408;0.0;0.09543509706647246;0.118;1.666
161;15617.533330159922;86.13067777463255;26.769623132808885;26.118006140758446;1.2201914391145647;133.72096558376072;133.69617063765756;26.716683727505387;0.3366846810466867;0.0;0.3532379842640924;0.0;0.0665072264347968;0.104;1.917
162;15595.503071331697;85.70001417726392;26.412480808894035;25.775463738564802;1.228188479595211;133.72009558633803;133.6945878448793;27.489397116145557;0.33094541955464196;0.0;0.3487341996889755;0.0;0.06828509183012448;0.1022;1.914
163;15703.467532631377;86.2602821533532;26.561254604084734;25.9038731622849;1.1953339706482415;133.72395136040828;133.7015895326283;24.177997519738746;0.3375847705594996;0.0;0.3511647567394017;0.0;0.06030778649395462;0.1022;1.92
164;15586.405318326111;86.28290161904194;27.05078716431006;26.394742237269934;1.2293247862117558;133.71983554830078;133.6941432430238;27.633353730932747;0.3392001298565738;0.0;0.35675532786166897;0.0;0.06878780863384705;0.1058;1.917
165;15531.427477235518;85.99754951199291;26.974625593749035;26.32930189240791;1.2480898795691266;133.71763613140757;133.69020438534943;29.44342904538471;0.33574081483797497;0.0;0.3557984584365906;0.0;0.07314493526635557;0.1058;1.914
166;15673.060999045727;86.41676997432766;26.84408436204805;26.18198729948585;1.20329818101965;133.72295949474724;133.69978870197875;25.011400253227343;0.3401709721577234;0.0;0.3545777948778918;0.0;0.062386784920792415;0.104;1.92
167;15648.798582011726;85.97795834190521;26.487404114759368;25.840225500831327;1.2113448173847474;133.72206359788538;133.69814878188498;25.815762237330013;0.33420279122444285;0.0;0.3497924570122187;0.0;0.0642624166202799;0.1022;1.917
168;15563.397352691509;85.84902198654441;26.694071915476993;26.052894640966876;1.2379761728998466;133.7188844854249;133.69242387623478;28.458219031754552;0.3333271199869656;0.0;0.3522284665627389;0.0;0.0706964198062484;0.104;1.914
169;15642.792982388328;86.5727465744153;27.125841998590847;26.459036152465142;1.2115118952491062;133.72194019215684;133.69794452321042;25.859620575202698;0.3427923821220257;0.0;0.3580588455883001;0.0;0.06449951133509209;0.1058;1.92
170;14190.658917811214;73.55099393643755;19.648899957879483;19.24532271497509;1178.0000000008015;138.5440263501952;138.61930908517542;6.596688185454497;0.2559506556369245;0.0;0.2573072073109081;0.0;0.09543509706668203;0.118;1.666
171;15299.723465320125;85.96998334706464;28.61641828988607;27.22855372816284;1.3390779008546605;133.2244547229703;133.6708675376798;37.53609972475841;0.3378598611145159;0.0;0.3697196591491521;0.0;0.09303408303318414;0.1126;1.908
172;15299.467205569365;86.50553284391718;29.161383635006786;27.76512833268627;1.3375069621292532;133.21767629079878;133.67018765770771;37.41856929940235;0.3456956144631461;0.0;0.3767065797174001;0.0;0.093249725892582;0.1157;1.911
173;15327.236343736064;86.38288414622141;28.92839031587905;27.531402761792073;1.3252244192795748;133.2221162693112;133.6733612383697;36.40275200946999;0.3435539501691992;0.0;0.3731378866078434;0.0;0.09047340896019196;0.11415;1.911
174;15357.692052818446;86.80621035880793;29.23928876232583;27.832905868759696;1.3107083970006228;133.21963552230736;133.67602746966818;35.179124694809225;0.34959141890938106;0.0;0.3768491651605267;0.0;0.08768090565516441;0.1157;1.914
175;15411.767748268338;86.55445421052661;28.7727917662099;27.36484642684125;1.2895208960630316;133.22434046859232;133.6810951685774;33.3143698969906;0.34514923188493235;0.0;0.369980470034374;0.0;0.08281469343698537;0.1126;1.914
176;15355.034951864664;86.25992083613725;28.69527826206989;27.297244743453227;1.3136696604813989;133.22451925931276;133.67609134044065;35.416752604772256;0.34143519983046783;0.0;0.3696586771647317;0.0;0.08790470011267808;0.1126;1.911
177;15271.1940348343;86.08991602956154;28.849291191136164;27.462604451383747;1.3520049511052976;133.22100889513135;133.66771129305434;38.587788981008;0.3398919391918149;0.0;0.3732972137002171;0.0;0.09583442431830448;0.11415;1.908
178;15242.661689334713;86.20954400690741;29.082355473829235;27.696362197654572;1.3659598138812097;133.21457418939482;133.6638803364794;39.67899695131554;0.3419458379980706;0.0;0.3769850408293026;0.0;0.0989445755518934;0.1157;1.908
179;15384.704354707002;86.68049461835062;29.006209637210695;27.599140650143546;1.2998518438740518;133.2226718053237;133.6787067234383;34.2352585025748;0.3473582917331058;0.0;0.3733773288585713;0.0;0.08517747826689681;0.11415;1.914
