;E_expect (kJ/mol);E_vac_expect (kJ/mol);Hvap_bootstrap (kJ/mol);Hvap_expect (kJ/mol);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dE_expect (kJ/mol);dE_vac_expect (kJ/mol);dHvap_bootstrap (kJ/mol);dHvap_expect (kJ/mol);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values C;epsilon values H-C;rmin_half values C;rmin_half values H-C
0;12612.392026618003;98.55968884208093;;50.57025734902436;377.9999999999814;;107.21174836211227;11.376600285515849;0.32463597641509245;;0.32780992929275604;;0.03839594190846367;0.123075;0.017662499999999998;1.9557;1.524175
1;17200.32109232833;134.10646983511214;;67.76444801240703;1187.9999999997767;;115.8658751663851;6.039975450474629;0.3569837893049236;;0.35780040062094753;;0.016950902739200163;0.17255399;0.02217845;1.91305452;1.6864328000000002
2;17987.30117953762;136.82309992139594;;67.33307973397415;3.3981354432361264;;116.63830961704323;40.571675585692795;0.3755393238979857;;0.4091048247895438;;0.10619287213592954;0.1639262905;0.02217845;1.9321850652;1.6864328
3;18930.275471226265;142.31486792969082;;69.05294214666672;1.1328586763822253;;116.72176355450122;20.292674582926086;0.462081219074005;;0.4691564081488286;;0.04262622707681983;0.1811816895;0.0232873725;1.91305452;1.703297128
4;22609.253715617004;131.64772252208186;;43.67071849069336;1.0;;108.45711802485764;;0.34524054254322795;;;;8.429369702178807e-08;0.1639262905;0.0210695275;1.91305452;1.6864328
5;19025.353978403924;144.2428076498267;;70.60057182444791;1.145576735594692;;116.68229468393262;39.51741386586157;0.5060723596375697;;0.5301841654328308;;0.10300692531362343;0.1811816895;0.02217845;1.9321850652;1.703297128
6;17054.508271366045;138.69442081841265;;72.93575035291784;3.147237999728068;;114.8750498082444;121.66333514237014;0.400456837537729;;0.6302357916738579;;0.21885905124066327;0.1811816895;0.02217845;1.9321850652;1.6864328
7;18404.372408890253;134.08520003038998;;62.92684019989687;1.038105332930311;;117.18014784284719;2.1206623823933084;0.35924590552698205;;0.35934603932942266;;0.008856404637653798;0.1639262905;0.0210695275;1.8939239748;1.703297128
8;17564.11577393906;139.25416302367265;;71.45697967515842;8.438532953110148;;115.69557186133352;59.368390734936284;0.4056993843807289;;0.4700911441606991;;0.15213916216927728;0.17255399;0.0232873725;1.9321850652;1.6864328
9;20835.76215572863;127.69556349709795;;46.81252570526293;1.0;;108.4571180248577;;0.33634910640764315;;;;0.0;0.1639262905;0.02217845;1.91305452;1.669568472
10;12612.392026607913;98.55968884208092;;50.570257349064704;377.9999999999814;;107.21174836211227;11.37660028428909;0.3246359764150873;;0.3278099292920697;;0.03839594190842071;0.123075;0.017662499999999998;1.9557;1.524175
11;17200.3210923187;134.10646983511222;;67.7644480124456;1187.9999999997767;;115.8658751663851;6.03997545016494;0.3569837893049292;;0.35780040062086943;;0.016950902742086573;0.17255399;0.02217845;1.91305452;1.6864328000000002
