;C_p_res_bootstrap (J/mol/K);C_p_res_expect (J/mol/K);N_eff;Vol_bootstrap (mL/mol);Vol_expect (mL/mol);dC_p_res_bootstrap (J/mol/K);dC_p_res_expect (J/mol/K);dVol_bootstrap (mL/mol);dVol_expect (mL/mol);epsilon values;rmin_half values
0;41.3232246709021;41.310449265505646;901.0000000000526;107.75337325646812;107.7546556710058;2.190906972544449;222.1047872093845;0.03153470200682625;0.0320524259973543;0.1094;1.908
1;42.05516219801222;42.09084206495345;538.6286278597099;108.01264050911327;108.01333804884085;2.861378691976632;297.05592443422586;0.04594278483488324;0.045651227763728534;0.1094;1.901
2;41.02109447142493;41.23820976465918;135.50768370945045;108.32018177497312;108.3224172920178;4.0979925231116034;586.9694720115831;0.09835513378792288;0.09802484357791758;0.1094;1.894
3;31.663059346197805;31.88683566232261;26.675666638189306;109.06063799606692;109.0768382135194;5.4666909539931146;882.6358952355197;0.13433259204123973;0.12853711815961824;0.1058;1.894
4;37.6149911344524;37.876751836531646;90.71670130683388;108.82690983525484;108.83226418448963;4.538297875987578;578.1250973047063;0.08861232877760307;0.08727875258102594;0.1058;1.901
5;34.822303520164304;35.04751410044402;46.99687458286557;108.95021546444487;108.96017288456396;4.9493882692439835;717.9656941911542;0.11147482403139523;0.10845807364004498;0.1058;1.8975
6;39.78018470846955;40.057555697292095;115.99739211541728;108.59285721383628;108.59671792076678;4.1316149927859644;587.9095568785452;0.09367569673499776;0.0919519207118054;0.1076;1.8975
7;37.50132779486244;37.92759138816329;56.92507036489274;108.7398102689305;108.74834439168107;4.589816499175929;789.271950629232;0.12431841996077092;0.12178294055177635;0.1076;1.894
8;41.88181901165512;41.97123184448992;286.8732244973632;108.15992577323831;108.16065311208128;3.4335840405723985;408.73271975519765;0.06691343016771252;0.06624298436020465;0.1094;1.8975
9;41.165153526796296;41.35782718499368;242.78431514456176;108.4444092089964;108.44601877102848;3.727148241069786;433.3927182587395;0.06726390246870068;0.06623583434538717;0.1076;1.901
10;41.29895680905715;41.31044904490452;901.0000000000526;107.75418151302358;107.7546556710058;2.1481735980506675;222.1047866180197;0.031122861721531468;0.032052425997352245;0.1094;1.908
11;39.10478180717032;39.10518661203633;512.6425124725564;108.2106001826932;108.21223842445005;2.7030923552021004;287.5716840689608;0.03937383880336755;0.04007525515008821;0.1058;1.917
12;39.63040972883008;39.660414771005;593.5533909895637;107.83377866393283;107.83491266394468;2.3626914128296;269.1829653331605;0.035033113329614084;0.03548372452334443;0.1076;1.917
13;38.98551057522254;39.055184627753476;410.8731041259449;107.73153898892888;107.7326130558323;2.63845914934073;320.0621623088296;0.040045251086419376;0.04014861802624031;0.1076;1.92
14;38.71800037800063;38.73364793537379;427.8802093345091;108.0999631525313;108.10159643111751;2.709686946132789;318.5753220180535;0.041185701785945376;0.04172469311803259;0.1058;1.92
15;39.671141455214794;39.691058925659775;522.4398223004904;108.32426745118937;108.32595608841798;3.000272238879113;291.67932472619077;0.041087657504140014;0.041784618160928405;0.1058;1.914
16;40.19475909343557;40.20181206422182;737.0776861426615;107.93974023525541;107.94085375310678;2.297556535245173;242.54919835296917;0.032761263432482916;0.033512928840592086;0.1076;1.914
17;39.08894900581584;39.21269428791057;418.0113126541306;107.46305867911131;107.46339239987648;2.5509755295558576;306.92019936099604;0.03948907934052906;0.03986584701882112;0.1094;1.917
18;37.61764828440014;37.789867970803684;241.3603005658965;107.37912060991349;107.37914263130352;2.8915800644073535;375.73335200308196;0.046970788427584516;0.04715774363890008;0.1094;1.92
19;40.08489740256119;40.15811438558868;637.0269636935591;107.55505241524344;107.55551258614605;2.278540780174809;258.3301353676277;0.034424186240664977;0.03500890735983173;0.1094;1.914
20;41.15091787892451;41.31044905460196;901.0000000000526;107.75423980103493;107.7546556710058;2.1031382140209134;222.10478663690867;0.03230009951436167;0.03205242599735224;0.1094;1.908
21;43.732400232549885;43.9387215658768;152.8559600927473;106.82801682292812;106.82745169474106;5.366988863670088;567.5506841490944;0.07405567566749878;0.07387330903593138;0.1157;1.894
22;41.18541023259703;41.22889188541596;94.13710192278928;107.06746652011414;107.06445231540957;5.3779900080832235;598.1946192620727;0.08424866813223457;0.08507172922364364;0.1157;1.887
23;42.13766456411813;42.156620727127276;251.67621750938326;107.15238581008705;107.15210243085336;3.5679742199790496;403.7692299089299;0.05972936252308715;0.06009377013888339;0.11415;1.894
